player,year_min,height,weight
Johnny Baum,1970,6-5,200
Frankie Baumholtz,1947,5-10,170
Lonny Baxter,2003,6-8,260
Jerryd Bayless,2009,6-3,200
Elgin Baylor,1959,6-5,225
Howard Bayne,1968,6-6,235
Aron Baynes,2013,6-10,260
Sergei Bazarevich,1995,6-2,168
Kent Bazemore,2013,6-5,201
Ed Beach,1951,6-3,200
Bradley Beal,2013,6-5,207
Al Beard,1968,6-9,200
Butch Beard,1970,6-3,185
Ralph Beard,1950,5-10,175
Charles Beasley,1968,6-5,190
Jerome Beasley,2004,6-10,237
John Beasley,1968,6-9,225
Malik Beasley,2017,6-5,195
Michael Beasley,2009,6-9,235
Zelmo Beaty,1963,6-9,225
Rodrigue Beaubois,2010,6-0,170
Byron Beck,1968,6-9,225
Corey Beck,1996,6-1,190
Ernie Beck,1954,6-4,190
Arthur Becker,1968,6-7,205
Moe Becker,1947,6-1,185
Bob Bedell,1968,6-7,205
William Bedford,1987,7-0,225
Hank Beenders,1947,6-6,185
Ron Behagen,1974,6-9,185
Elmer Behnke,1952,6-7,210
Marco Belinelli,2008,6-5,210
Charlie Bell,2002,6-3,200
Dennis Bell,1974,6-5,185
Jordan Bell,2018,6-9,224
Raja Bell,2001,6-5,204
Troy Bell,2004,6-1,180
Whitey Bell,1960,6-0,180
Walt Bellamy,1962,6-11,225
DeAndre' Bembry,2017,6-6,210
Irv Bemoras,1954,6-3,185
Leon Benbow,1975,6-4,185
Dragan Bender,2017,7-1,225
Jonathan Bender,2000,6-11,202
Jerrelle Benimon,2015,6-8,245
Benoit Benjamin,1986,7-0,250
Corey Benjamin,1999,6-6,200
Anthony Bennett,2014,6-8,245
Elmer Bennett,1995,6-0,170
Mario Bennett,1996,6-6,235
Mel Bennett,1976,6-7,200
Spider Bennett,1969,6-3,190
Tony Bennett,1993,6-0,175
Winston Bennett,1990,6-7,210
David Benoit,1992,6-8,220
Keith Benson,2012,6-11,240
Kent Benson,1978,6-10,235
Ben Bentil,2017,6-9,235
Gene Berce,1950,5-11,175
Gary Bergen,1957,6-8,210
Larry Bergh,1970,6-8,210
Ricky Berry,1989,6-8,205
Walter Berry,1987,6-8,215
Davis Bertans,2017,6-10,225
Del Beshore,1979,5-11,165
Travis Best,1996,5-11,182
Patrick Beverley,2013,6-1,185
Sim Bhullar,2015,7-5,360
Wesley Bialosuknia,1968,6-2,185
Al Bianchi,1957,6-3,185
Hank Biasatti,1947,5-11,175
Henry Bibby,1973,6-1,185
Mike Bibby,1999,6-1,190
Ed Biedenbach,1969,6-1,175
Andris Biedrins,2005,6-11,240
Don Bielke,1956,6-7,240
Bob Bigelow,1976,6-7,215
Lionel Billingy,1975,6-9,215
Chauncey Billups,1998,6-3,202
Dave Bing,1967,6-3,180
Joe Binion,1987,6-8,235
Khem Birch,2018,6-9,233
Jabari Bird,2018,6-6,198
Jerry Bird,1959,6-6,210
Larry Bird,1980,6-9,220
Otis Birdsong,1978,6-3,190
Gale Bishop,1949,6-3,195
Bismack Biyombo,2012,6-9,255
Nemanja Bjelica,2016,6-10,234
Uwe Blab,1986,7-1,252
Charlie Black,1949,6-5,200
Norman Black,1981,6-5,185
Tarik Black,2015,6-9,250
Tom Black,1971,6-10,220
Rolando Blackman,1982,6-6,190
Alex Blackwell,1993,6-6,250
Cory Blackwell,1985,6-6,210
James Blackwell,1995,6-0,190
Nate Blackwell,1988,6-4,170
DeJuan Blair,2010,6-7,270
Steve Blake,2004,6-3,172
Antonio Blakeney,2018,6-4,192
Will Blalock,2007,6-0,205
George Blaney,1962,6-1,175
Lance Blanks,1991,6-4,190
Ricky Blanton,1993,6-7,215
Andray Blatche,2006,6-11,235
Mookie Blaylock,1990,6-0,180
Eric Bledsoe,2011,6-1,205
