player,year_min,height,weight
P.J. Hairston,2015,6-6,230
Marcus Haislip,2003,6-10,230
Chick Halbert,1947,6-9,225
Swede Halbrook,1961,7-3,235
Bruce Hale,1949,6-1,170
Hal Hale,1968,6-1,180
Jack Haley,1989,6-10,240
Shaler Halimon,1969,6-5,199
Mike Hall,2007,6-8,230
Jeff Halliburton,1972,6-5,193
Darvin Ham,1997,6-7,220
Steve Hamer,1997,7-0,245
Dale Hamilton,1950,6-0,180
Daniel Hamilton,2018,6-7,195
Dennis Hamilton,1968,6-8,210
Joe Hamilton,1971,5-10,160
Jordan Hamilton,2012,6-7,220
Justin Hamilton,2014,7-0,260
Ralph Hamilton,1949,6-1,188
Richard Hamilton,2000,6-6,185
Roy Hamilton,1980,6-2,180
Steve Hamilton,1959,6-6,190
Tang Hamilton,2002,6-8,220
Thomas Hamilton,1996,7-2,330
Zendon Hamilton,2001,6-11,250
Geert Hammink,1994,7-0,262
Julian Hammond,1968,6-5,205
Tom Hammonds,1990,6-9,215
A.J. Hammons,2017,7-0,260
Joe Hamood,1968,6-0,180
Darrin Hancock,1995,6-7,205
Ben Handlogten,2004,6-10,240
Cecil Hankins,1947,6-1,175
Phil Hankinson,1974,6-8,195
Alex Hannum,1950,6-7,210
Don Hanrahan,1953,6-7,200
Rollen Hans,1954,6-2,210
Ben Hansbrough,2013,6-3,203
Tyler Hansbrough,2010,6-9,250
Bob Hansen,1984,6-6,190
Glenn Hansen,1976,6-4,205
Lars Hansen,1979,6-10,225
Travis Hansen,2004,6-6,205
Reggie Hanson,1998,6-8,195
Bill Hanzlik,1981,6-7,185
Luke Harangody,2011,6-8,246
Anfernee Hardaway,1994,6-7,195
Tim Hardaway,1990,6-0,175
Tim Hardaway,2014,6-6,205
James Harden,2010,6-5,220
Reggie Harding,1964,7-0,249
Charlie Hardnett,1963,6-8,225
Alan Hardy,1981,6-7,195
Darrell Hardy,1968,6-7,220
James Hardy,1979,6-8,220
Ira Harge,1968,6-9,225
John Hargis,1950,6-2,180
Maurice Harkless,2013,6-9,220
Jerry Harkness,1964,6-2,175
Skip Harlicka,1969,6-1,185
Jerome Harmon,1995,6-4,190
Derek Harper,1984,6-4,185
Justin Harper,2012,6-10,225
Mike Harper,1981,6-10,195
Ron Harper,1987,6-6,185
Matt Harpring,1999,6-7,231
Montrezl Harrell,2016,6-8,240
Josh Harrellson,2012,6-10,275
Adam Harrington,2003,6-5,200
Al Harrington,1999,6-9,230
Junior Harrington,2003,6-4,180
Othella Harrington,1997,6-9,235
Art Harris,1969,6-4,185
Bernie Harris,1975,6-10,200
Billy Harris,1975,6-2,185
Bob Harris,1950,6-7,195
Chris Harris,1956,6-3,190
Devin Harris,2005,6-3,185
Elias Harris,2014,6-8,239
Gary Harris,2015,6-4,210
Joe Harris,2015,6-6,218
Lucious Harris,1994,6-5,190
Manny Harris,2011,6-5,185
Mike Harris,2008,6-6,240
Steve Harris,1986,6-5,195
Terrel Harris,2012,6-5,190
Tobias Harris,2012,6-9,235
Tony Harris,1991,6-3,190
Aaron Harrison,2016,6-6,210
Andrew Harrison,2017,6-6,213
Bob Harrison,1950,6-1,190
David Harrison,2005,7-0,280
Shaquille Harrison,2018,6-4,190
Jason Hart,2001,6-3,185
Josh Hart,2018,6-5,215
Isaiah Hartenstein,2019,7-0,249
Antonio Harvey,1994,6-11,225
Donnell Harvey,2001,6-8,220
Scott Haskin,1994,6-11,250
Clem Haskins,1968,6-3,195
Udonis Haslem,2004,6-8,235
Trenton Hassell,2002,6-5,200
Billy Hassett,1950,5-11,180
Joe Hassett,1978,6-5,180
Scott Hastings,1983,6-10,235
Kirk Haston,2002,6-9,242
Vern Hatton,1959,6-3,195
John Havlicek,1963,6-5,203
Spencer Hawes,2008,7-1,245
Steve Hawes,1975,6-9,220
Bubbles Hawkins,1976,6-4,190
Connie Hawkins,1968,6-8,210
Hersey Hawkins,1989,6-3,190
Juaquin Hawkins,2003,6-7,220
Marshall Hawkins,1950,6-3,205
Michael Hawkins,1997,6-0,178
Tom Hawkins,1960,6-5,210
Nate Hawthorne,1974,6-4,190
Chuck Hayes,2006,6-6,240
Elvin Hayes,1969,6-9,235
Jarvis Hayes,2004,6-7,220
Jim Hayes,1971,6-3,200
Nigel Hayes,2018,6-8,254
Steve Hayes,1982,7-0,205
Gordon Hayward,2011,6-8,225
Lazar Hayward,2011,6-6,225
Brendan Haywood,2002,7-0,268
Spencer Haywood,1970,6-8,225
John Hazen,1949,6-2,172
Walt Hazzard,1965,6-2,185
Luther Head,2006,6-3,185
Shane Heal,1997,6-0,180
Brian Heaney,1970,6-2,180
Gar Heard,1971,6-6,219
Reggie Hearn,2018,6-5,210
Herm Hedderick,1955,6-5,170
Alvin Heggs,1996,6-8,225
Tom Heinsohn,1957,6-7,218
Dick Hemric,1956,6-6,220
Alan Henderson,1996,6-9,235
Cedric Henderson,1987,6-8,210
Cedric Henderson,1998,6-7,215
Dave Henderson,1988,6-5,195
Gerald Henderson,1980,6-2,175
Gerald Henderson,2010,6-5,215
J.R. Henderson,1999,6-8,226
Jerome Henderson,1986,6-11,230
Kevin Henderson,1987,6-4,195
Tom Henderson,1975,6-3,190
Mark Hendrickson,1997,6-9,220
Larry Hennessy,1956,6-3,185
Don Henriksen,1953,6-7,225
Al Henry,1971,6-9,190
Bill Henry,1949,6-9,215
Carl Henry,1986,6-6,205
Conner Henry,1987,6-7,195
Myke Henry,2018,6-6,210
Skeeter Henry,1994,6-7,190
Xavier Henry,2011,6-6,220
John Henson,2013,6-11,219
Steve Henson,1991,5-11,177
Charles Hentz,1971,6-5,210
Bill Herman,1950,6-3,170
Kleggie Hermsen,1947,6-9,225
Juan Hernangomez,2017,6-9,230
Willy Hernangomez,2017,6-11,240
Chris Herren,2000,6-2,197
Carl Herrera,1992,6-9,215
Walter Herrmann,2007,6-9,225
Keith Herron,1979,6-6,195
Sonny Hertzberg,1947,5-10,175
Dan Hester,1971,6-8,210
Fred Hetzel,1966,6-8,220
Bill Hewitt,1969,6-7,210
Jack Hewson,1948,6-6,195
Art Heyman,1964,6-5,205
Mario Hezonja,2016,6-8,225
Roy Hibbert,2009,7-2,270
Nat Hickey,1948,5-11,180
Isaiah Hicks,2018,6-9,230
Phil Hicks,1977,6-7,205
J.J. Hickson,2009,6-9,242
Buddy Hield,2017,6-4,214
Bill Higgins,1975,6-2,180
Cory Higgins,2012,6-5,180
Earle Higgins,1971,6-8,195
Mike Higgins,1990,6-9,220
Rod Higgins,1983,6-7,200
Sean Higgins,1991,6-9,205
Kenny Higgs,1979,6-0,180
Johnny High,1980,6-3,185
Haywood Highsmith,2019,6-7,220
Wayne Hightower,1963,6-8,192
Nene Hilario,2003,6-11,250
Armond Hill,1977,6-4,190
Cleo Hill,1962,6-1,185
Gary Hill,1964,6-4,185
George Hill,2009,6-3,188
Grant Hill,1995,6-8,225
Jordan Hill,2010,6-10,235
Simmie Hill,1970,6-7,233
Solomon Hill,2014,6-7,225
Steven Hill,2009,7-0,248
Tyrone Hill,1991,6-9,240
Art Hillhouse,1947,6-7,220
Darrun Hilliard,2016,6-6,205
Darnell Hillman,1972,6-9,215
Fred Hilton,1972,6-3,185
Kirk Hinrich,2004,6-4,190
Roy Hinson,1984,6-9,210
Mel Hirsch,1947,5-6,165
Lew Hitch,1952,6-8,200
Robert Hite,2007,6-2,184
Darington Hobson,2012,6-7,210
Donald Hodge,1992,7-0,230
Julius Hodge,2006,6-7,210
Craig Hodges,1983,6-2,190
Charlie Hoefer,1947,5-9,158
Paul Hoffman,1948,6-2,195
Bob Hogsett,1967,6-7,230
Paul Hogue,1963,6-9,240
Fred Hoiberg,1996,6-4,203
Doug Holcomb,1949,6-4,200
Randy Holcomb,2006,6-9,225
Aaron Holiday,2019,6-1,185
Jrue Holiday,2010,6-4,205
Justin Holiday,2013,6-6,181
Brad Holland,1980,6-3,180
Joe Holland,1950,6-4,185
John Holland,2018,6-5,205
Wilbur Holland,1976,6-0,175
Lionel Hollins,1976,6-3,185
Ryan Hollins,2007,7-0,240
Essie Hollis,1979,6-6,195
Rondae Hollis-Jefferson,2016,6-7,217
Dennis Holman,1968,6-3,175
Richaun Holmes,2016,6-10,235
Jim Holstein,1953,6-3,180
A.W. Holt,1971,6-7,210
Mike Holton,1985,6-4,185
Dick Holub,1948,6-6,205
Joe Holup,1957,6-6,215
Red Holzman,1949,5-10,175
Jerald Honeycutt,1998,6-9,245
Tyler Honeycutt,2012,6-8,188
Derek Hood,2000,6-8,222
Rodney Hood,2015,6-8,206
Bobby Hooper,1969,6-0,180
Carroll Hooser,1968,6-7,230
Tom Hoover,1964,6-9,230
Bob Hopkins,1957,6-8,205
Dave Hoppen,1988,6-11,235
Dennis Hopson,1988,6-5,200
Scotty Hopson,2014,6-7,204
Johnny Horan,1956,6-8,190
Cedrick Hordges,1981,6-8,220
Al Horford,2008,6-10,245
Tito Horford,1989,7-1,245
Ron Horn,1962,6-7,220
Jeff Hornacek,1987,6-3,190
Dennis Horner,2012,6-9,230
Robert Horry,1993,6-9,220
Ed Horton,1990,6-8,230
Bill Hosket,1969,6-8,225
Bob Houbregs,1954,6-7,210
Danuel House,2017,6-7,220
Eddie House,2001,6-1,180
Allan Houston,1994,6-6,200
Byron Houston,1993,6-5,250
Tom Hovasse,1995,6-8,205
Brian Howard,1992,6-6,204
Dwight Howard,2005,6-11,265
Greg Howard,1971,6-9,215
Josh Howard,2004,6-7,210
Juwan Howard,1995,6-9,240
Mo Howard,1977,6-2,170
Otis Howard,1979,6-7,220
Stephen Howard,1993,6-9,225
Bailey Howell,1960,6-7,210
Bob Hubbard,1948,6-6,215
Phil Hubbard,1980,6-8,215
Lester Hudson,2010,6-3,190
Lou Hudson,1967,6-5,210
Troy Hudson,1998,6-1,170
Marcelo Huertas,2016,6-3,200
Kevin Huerter,2019,6-7,190
Josh Huestis,2016,6-7,230
Nate Huffman,2003,7-1,245
Alfredrick Hughes,1986,6-5,215
Eddie Hughes,1988,5-10,165
Kim Hughes,1976,6-11,220
Larry Hughes,1999,6-5,184
Rick Hughes,2000,6-9,235
Robbie Hummel,2014,6-8,215
John Hummer,1971,6-9,230
Ryan Humphrey,2003,6-8,235
Jay Humphries,1985,6-3,185
Kris Humphries,2005,6-9,235
Hot Rod Hundley,1958,6-4,185
Brandon Hunter,2004,6-7,260
Cedric Hunter,1992,6-0,180
Chris Hunter,2010,6-11,240
Les Hunter,1965,6-7,210
Lindsey Hunter,1994,6-2,170
Othello Hunter,2009,6-8,225
R.J. Hunter,2016,6-5,185
Steven Hunter,2002,7-0,220
Vince Hunter,2018,6-8,208
Bobby Hurley,1994,6-0,165
Roy Hurley,1947,6-2,170
Geoff Huston,1980,6-2,175
Paul Huston,1948,6-3,175
Mel Hutchins,1952,6-6,200
Chandler Hutchison,2019,6-7,197
Joe Hutton,1951,6-1,170
Greg Hyder,1971,6-6,215
Marc Iavaroni,1983,6-8,210
Serge Ibaka,2010,6-10,235
Andre Iguodala,2005,6-6,215
Zydrunas Ilgauskas,1998,7-3,238
Mile Ilic,2007,7-1,230
Didier Ilunga-Mbenga,2005,7-0,245
Ersan Ilyasova,2007,6-10,235
Darrall Imhoff,1961,6-10,220
Tom Ingelsby,1974,6-3,180
Joe Ingles,2015,6-8,226
Damien Inglis,2016,6-8,246
Andre Ingram,2018,6-3,190
Brandon Ingram,2017,6-9,190
McCoy Ingram,1958,6-8,210
Ervin Inniger,1968,6-4,190
Byron Irvin,1990,6-5,190
George Irvine,1971,6-6,200
Kyrie Irving,2012,6-3,193
Jonathan Isaac,2018,6-10,210
Dan Issel,1971,6-9,235
Mike Iuzzolino,1992,5-10,175
Allen Iverson,1997,6-0,165
Willie Iverson,1969,6-0,180
Royal Ivey,2005,6-3,200
Elvin Ivory,1969,6-8,210
Wesley Iwundu,2018,6-7,195
Warren Jabali,1969,6-2,200
Jarrett Jack,2006,6-3,200
Aaron Jackson,2018,6-4,185
Al Jackson,1968,6-1,185
Bobby Jackson,1998,6-1,185
Cedric Jackson,2010,6-3,191
Darnell Jackson,2009,6-9,253
Demetrius Jackson,2017,6-1,201
Frank Jackson,2019,6-3,205
Greg Jackson,1975,6-0,180
Jaren Jackson,1990,6-4,190
Jaren Jackson,2019,6-11,242
Jermaine Jackson,2000,6-4,204
Jim Jackson,1993,6-6,220
Josh Jackson,2018,6-8,200
Justin Jackson,2018,6-8,210
Luke Jackson,1965,6-9,240
Luke Jackson,2005,6-7,215
Marc Jackson,2001,6-10,270
Mark Jackson,1988,6-1,180
Mervin Jackson,1969,6-3,175
Michael Jackson,1988,6-2,183
Mike Jackson,1973,6-7,215
Myron Jackson,1987,6-3,185
Phil Jackson,1968,6-8,220
Pierre Jackson,2017,5-10,180
Ralph Jackson,1985,6-2,190
Randell Jackson,1999,6-11,215
Reggie Jackson,2012,6-3,208
Stanley Jackson,1994,6-3,185
Stephen Jackson,2001,6-8,218
Tony Jackson,1968,6-4,200
Tony Jackson,1981,6-0,170
Tracy Jackson,1982,6-6,205
Wardell Jackson,1975,6-7,200
Fred Jacobs,1947,6-3,175
Casey Jacobsen,2003,6-6,215
Sam Jacobson,1999,6-4,215
Dave Jamerson,1991,6-5,190
Aaron James,1975,6-8,210
Bernard James,2013,6-10,240
Billy James,1974,6-3,185
Damion James,2011,6-7,225
Gene James,1949,6-4,180
Henry James,1991,6-8,220
Jerome James,1999,7-0,300
LeBron James,2004,6-8,250
Mike James,2002,6-2,188
Mike James,2018,6-1,189
Tim James,2000,6-7,212
Antawn Jamison,1999,6-8,223
Harold Jamison,2000,6-8,260
John Janisch,1947,6-3,200
Howie Janotta,1950,6-3,185
Marko Jaric,2003,6-7,198
Tony Jaros,1947,6-3,185
Jim Jarvis,1968,6-1,175
Sarunas Jasikevicius,2006,6-4,195
Nathan Jawai,2009,6-10,280
Buddy Jeannette,1948,5-11,175
Abdul Jeelani,1980,6-8,210
Chris Jefferies,2003,6-8,225
Othyus Jeffers,2010,6-5,200
Al Jefferson,2005,6-10,289
Amile Jefferson,2019,6-9,222
Cory Jefferson,2015,6-9,218
Dontell Jefferson,2009,6-5,195
Richard Jefferson,2002,6-7,233
Jared Jeffries,2003,6-11,230
Charles Jenkins,2012,6-3,220
Horace Jenkins,2005,6-1,180
John Jenkins,2013,6-4,215
Brandon Jennings,2010,6-1,170
Keith Jennings,1993,5-7,160
Chris Jent,1994,6-7,220
Les Jepsen,1991,7-0,237
Jonas Jerebko,2010,6-10,231
Grant Jerrett,2015,6-10,235
Eugene Jeter,2011,5-11,175
Hal Jeter,1970,6-3,190
Yi Jianlian,2008,7-0,240
Britton Johnsen,2004,6-10,210
Alexander Johnson,2007,6-9,240
Alize Johnson,2019,6-9,212
Amir Johnson,2006,6-9,240
Andy Johnson,1959,6-5,215
Anthony Johnson,1998,6-3,190
Armon Johnson,2011,6-3,195
Arnie Johnson,1949,6-5,236
Avery Johnson,1989,5-10,175
Brice Johnson,2017,6-10,230
Buck Johnson,1987,6-7,190
Carldell Johnson,2012,5-10,180
Charles Johnson,1973,6-0,170
Cheese Johnson,1980,6-6,195
Chris Johnson,2011,6-11,210
Chris Johnson,2013,6-6,206
Clay Johnson,1982,6-4,175
Clemon Johnson,1979,6-10,240
Dakari Johnson,2018,7-0,255
Darryl Johnson,1996,6-1,170
Dave Johnson,1993,6-7,210
DeMarco Johnson,2000,6-9,245
Dennis Johnson,1977,6-4,185
DerMarr Johnson,2001,6-9,201
Ed Johnson,1969,6-8,205
Eddie Johnson,1978,6-2,180
Eddie Johnson,1982,6-7,215
Eric Johnson,1990,6-2,205
Ervin Johnson,1994,6-11,245
Frank Johnson,1982,6-1,185
George Johnson,1971,6-11,245
George Johnson,1973,6-11,205
George Johnson,1979,6-7,210
Gus Johnson,1964,6-6,230
Harold Johnson,1947,6-6,240
Ivan Johnson,2012,6-8,230
JaJuan Johnson,2012,6-10,221
James Johnson,2010,6-8,240
Joe Johnson,2002,6-7,240
John Johnson,1971,6-7,200
Kannard Johnson,1988,6-9,220
Ken Johnson,1986,6-8,240
Ken Johnson,2003,6-11,240
Kevin Johnson,1988,6-1,180
Larry Johnson,1978,6-3,205
Larry Johnson,1992,6-6,250
Lee Johnson,1981,6-11,205
Linton Johnson,2004,6-8,205
Magic Johnson,1980,6-9,215
Marques Johnson,1978,6-7,218
Mickey Johnson,1975,6-10,190
Neil Johnson,1967,6-7,220
Nick Johnson,2015,6-3,202
Ollie Johnson,1973,6-6,200
Omari Johnson,2018,6-9,220
Orlando Johnson,2013,6-5,220
Ralph Johnson,1950,5-11,170
Reggie Johnson,1981,6-9,205
Rich Johnson,1969,6-7,210
Ron Johnson,1961,6-8,215
Stanley Johnson,2016,6-7,245
Steffond Johnson,1987,6-8,240
Steve Johnson,1982,6-10,235
Stew Johnson,1968,6-8,220
Trey Johnson,2009,6-5,218
Tyler Johnson,2015,6-4,190
Vinnie Johnson,1980,6-2,200
Wesley Johnson,2011,6-7,215
Darius Johnson-Odom,2013,6-2,215
Nate Johnston,1990,6-8,210
Neil Johnston,1952,6-8,210
Jim Johnstone,1983,6-11,245
Nikola Jokic,2016,7-0,250
Howie Jolliff,1961,6-7,218
Alvin Jones,2002,6-11,265
Anthony Jones,1987,6-6,195
Askia Jones,1995,6-5,200
Bill Jones,1989,6-7,175
Bobby Jones,1975,6-9,210
Bobby Jones,2007,6-7,215
Caldwell Jones,1974,6-11,217
Charles Jones,1984,6-9,215
Charles Jones,1985,6-8,215
Charles Jones,1999,6-3,180
Collis Jones,1972,6-7,203
Dahntay Jones,2004,6-6,225
Damian Jones,2017,7-0,245
Damon Jones,1999,6-3,185
DeQuan Jones,2013,6-8,221
Derrick Jones,2017,6-7,200
Dominique Jones,2011,6-4,215
Dontae' Jones,1998,6-8,220
Dwayne Jones,2006,6-11,250
Dwight Jones,1974,6-10,210
Earl Jones,1985,7-0,210
Eddie Jones,1995,6-6,190
Edgar Jones,1981,6-10,225
Fred Jones,2003,6-4,210
Hutch Jones,1983,6-8,190
Jake Jones,1972,6-3,180
Jalen Jones,2018,6-7,220
James Jones,2004,6-8,218
Jimmy Jones,1968,6-4,188
Johnny Jones,1968,6-7,205
Jumaine Jones,2000,6-8,218
K.C. Jones,1959,6-1,200
Kevin Jones,2013,6-8,251
Larry Jones,1965,6-2,180
Major Jones,1980,6-9,225
Mark Jones,1984,6-1,175
Mark Jones,2005,6-6,215
Nick Jones,1968,6-2,190
Ozell Jones,1985,6-11,235
Perry Jones,2013,6-11,235
Popeye Jones,1994,6-8,250
Rich Jones,1970,6-6,220
Robin Jones,1977,6-9,225
Sam Jones,1958,6-4,198
Shelton Jones,1989,6-9,210
Solomon Jones,2007,6-10,230
Steve Jones,1968,6-5,205
Terrence Jones,2013,6-9,252
Tyus Jones,2016,6-2,196
Wah Wah Jones,1950,6-4,225
Wali Jones,1965,6-2,180
Wil Jones,1970,6-8,205
Willie Jones,1961,6-3,185
Adonis Jordan,1994,5-11,170
Charles Jordan,1976,6-8,220
DeAndre Jordan,2009,6-11,265
Eddie Jordan,1978,6-1,170
Jerome Jordan,2012,7-0,253
Michael Jordan,1985,6-6,195
Reggie Jordan,1994,6-4,195
Thomas Jordan,1993,6-10,220
Walter Jordan,1981,6-7,198
Phil Jordon,1957,6-10,205
Johnny Jorgensen,1948,6-2,185
Noble Jorgensen,1947,6-9,228
Roger Jorgensen,1947,6-5,200
Cory Joseph,2012,6-3,193
Garth Joseph,2001,7-2,315
Kris Joseph,2013,6-7,210
Yvon Joseph,1986,6-11,245
Kevin Joyce,1974,6-3,190
Butch Joyner,1969,6-5,200
Jeff Judkins,1979,6-6,185
Whitey Kachan,1949,6-2,175
George Kaftan,1949,6-3,190
Ed Kalafat,1955,6-6,245
Chris Kaman,2004,7-0,265
Frank Kaminsky,2016,7-0,242
Enes Kanter,2012,6-11,250
Ralph Kaplowitz,1947,6-2,170
Jason Kapono,2004,6-8,213
Tony Kappen,1947,5-10,165
Sergey Karasev,2014,6-7,208
Coby Karl,2008,6-5,215
George Karl,1974,5-11,185
Ed Kasid,1947,7-1,260
Mario Kasun,2005,6-0,185
Leo Katkaveck,1949,6-8,240
Bob Kauffman,1969,6-11,260
Sasha Kaun,2016,6-0,180
Wilbert Kautz,1947,6-6,218
Clarence Kea,1981,6-2,178
Mike Kearns,1955,5-11,185
Tommy Kearns,1959,6-9,230
Adam Keefe,1993,6-4,185
Harold Keeling,1986,5-10,177
Bill Keller,1970,6-9,220
Gary Keller,1968,6-1,180
Ken Keller,1947,7-0,235
Rich Kelley,1976,6-7,225
Clark Kellogg,1983,6-2,175
Arvesta Kelly,1968,6-2,172
Jerry Kelly,1947,6-11,230
Ryan Kelly,2014,6-0,170
Tom Kelly,1949,6-7,190
Greg Kelser,1980,6-3,195
Ben Kelso,1974,6-10,230
Shawn Kemp,1990,6-10,245
Tim Kempton,1987,6-6,198
Frank Kendrick,1975,6-5,206
Luke Kennard,2018,6-6,215
D.J. Kennedy,2012,6-5,205
Goo Kennedy,1972,6-6,210
Joe Kennedy,1969,5-11,180
Pickles Kennedy,1961,6-9,205
Larry Kenon,1974,6-2,187
Billy Kenville,1954,6-11,245
Jonathan Kerner,1999,6-9,230
Red Kerr,1955,6-3,175
Steve Kerr,1989,6-6,215
Jack Kerris,1950,6-7,215
Jerome Kersey,1985,6-7,210
Tom Kerwin,1968,6-11,230
Alec Kessler,1991,6-9,277
Lari Ketner,2000,6-10,200
Julius Keye,1970,6-7,195
Randolph Keys,1989,6-9,210
Viktor Khryapa,2005,6-4,205
Jason Kidd,1995,6-9,235
Warren Kidd,1994,6-7,232
Michael Kidd-Gilchrist,2013,6-9,225
Irv Kiffin,1980,6-1,170
Jack Kiley,1952,6-3,180
Earnie Killum,1971,6-10,230
Carl Kilpatrick,1980,6-4,210
Sean Kilpatrick,2015,6-6,220
Toby Kimball,1967,6-4,190
Bo Kimble,1991,5-11,153
Stan Kimbrough,1990,6-4,190
Chad Kinch,1981,6-6,190
Albert King,1982,6-7,205
Bernard King,1978,6-8,215
Chris King,1994,6-6,220
Dan King,1955,6-1,185
Frankie King,1996,6-6,220
George King,1952,6-6,225
George King,2019,6-9,230
Gerard King,1999,6-2,175
Jim King,1964,6-5,210
Jimmy King,1996,6-2,180
Loyd King,1972,6-2,195
Maurice King,1960,6-6,225
Reggie King,1980,7-2,260
Rich King,1992,6-4,185
Ron King,1974,6-11,230
Stacey King,1990,6-0,165
Tom King,1947,6-6,215
Bob Kinney,1949,6-6,185
Tarence Kinsey,2007,6-9,220
Andrei Kirilenko,2002,7-0,245
Alex Kirk,2015,6-3,173
Walt Kirk,1949,6-7,190
Wilber Kirkland,1970,6-7,210
Jim Kissane,1969,6-9,210
Doug Kistler,1962,6-9,235
Curtis Kitchen,1987,6-11,250
Greg Kite,1984,6-5,179
Kerry Kittles,1997,6-11,240
Maxi Kleber,2018,6-11,255
Joe Kleine,1986,6-8,245
Linas Kleiza,2006,6-2,170
Leo Klier,1949,5-7,150
Herm Klotz,1948,6-3,175
Duane Klueh,1950,6-7,220
Lonnie Kluttz,1971,6-6,195
Billy Knight,1975,6-2,185
Bob Knight,1955,6-0,180
Brandin Knight,2005,6-3,195
Brandon Knight,2012,5-10,173
Brevin Knight,1998,6-1,175
Negele Knight,1991,6-7,215
Ron Knight,1971,6-9,210
Toby Knight,1978,7-0,235
Travis Knight,1997,6-7,215
Lee Knorek,1947,6-6,215
Dick Knostman,1954,6-9,215
Rod Knowles,1969,6-9,215
Kevin Knox,2019,6-4,210
Bart Kofoed,1988,6-5,215
Don Kojis,1964,6-7,212
Milo Komenich,1950,6-1,185
Howard Komives,1965,7-0,250
Jon Koncak,1986,6-8,225
Tom Kondla,1969,6-6,210
Bud Koper,1965,6-9,240
Joe Kopicki,1983,6-7,190
Furkan Korkmaz,2018,6-9,225
Frank Kornet,1990,7-1,250
Luke Kornet,2018,6-9,203
Yaroslav Korolev,2006,6-7,212
Kyle Korver,2004,6-8,215
Tony Koski,1969,7-0,245
Len Kosmalski,1975,6-3,203
Andy Kostecka,1949,6-8,220
Harold Kottman,1947,7-0,245
Kosta Koufos,2009,6-8,220
Tom Kozelko,1974,6-7,215
Ronald Kozlicki,1968,6-9,220
Arvid Kramer,1980,6-4,200
Barry Kramer,1965,6-7,203
Joel Kramer,1979,6-5,200
Steven Kramer,1968,6-0,195
Dan Kraus,1949,6-1,190
Herb Krautblatt,1949,7-0,260
Viacheslav Kravtsov,2013,6-8,230
Jim Krebs,1958,6-4,175
Wayne Kreklow,1981,6-5,200
Tommy Kron,1967,6-3,205
Tom Kropp,1976,7-0,240
Nenad Krstic,2005,6-9,220
Larry Krystkowiak,1987,6-8,215
Steve Kuberski,1970,5-11,160
Leo Kubiak,1950,6-10,230
Bruce Kuczenski,1984,6-2,193
Frank Kudelka,1950,6-2,180
John Kuester,1978,6-3,200
Ray Kuka,1948,6-10,192
Toni Kukoc,1994,7-0,230
Kevin Kunnert,1974,6-4,210
Terry Kunze,1968,6-9,230
Mitch Kupchak,1977,6-6,220
C.J. Kupec,1976,6-9,210
Rodions Kurucs,2019,6-9,232
Rob Kurz,2009,6-6,200
Ibo Kutluay,2005,6-9,220
Kyle Kuzma,2018,7-1,251
Ognjen Kuzmic,2014,6-9,215
Skal Labissiere,2017,6-11,235
Reggie Lacefield,1969,6-5,230
Edgar Lacey,1969,6-6,190
Sam Lacey,1971,6-10,235
Bob Lackey,1973,6-5,200
Fred LaCour,1961,6-5,210
Wendell Ladner,1971,6-5,220
Christian Laettner,1993,6-11,235
Oliver Lafayette,2010,6-2,190
Raef LaFrentz,1999,6-11,240
Tom LaGarde,1978,6-10,220
Bill Laimbeer,1981,6-11,245
Pete Lalich,1947,6-2,190
Bo Lamar,1974,6-1,180
Doron Lamb,2013,6-4,210
Jeremy Lamb,2013,6-5,185
John Lambert,1976,6-10,225
Jeff Lamp,1982,6-6,195
Maciej Lampe,2004,6-11,275
Jim Lampley,1987,6-10,230
Sean Lampley,2003,6-7,227
Carl Landry,2008,6-9,248
Marcus Landry,2010,6-7,230
Mark Landsberger,1978,6-8,215
Jerome Lane,1989,6-6,230
Andrew Lang,1989,6-11,245
Antonio Lang,1995,6-8,205
James Lang,2007,6-10,285
Trajan Langdon,2000,6-3,197
Keith Langford,2008,6-4,215
Dan Langhi,2001,6-11,220
Bob Lanier,1971,6-11,250
Stu Lantz,1969,6-3,175
Nicolas Laprovittola,2017,6-4,180
York Larese,1962,6-4,183
Shane Larkin,2014,5-11,175
Rusty LaRue,1998,6-2,210
Rudy LaRusso,1960,6-7,220
John Laskowski,1976,6-6,185
Stephane Lasme,2008,6-8,215
Dave Lattin,1968,6-6,225
Priest Lauderdale,1997,7-4,325
Rich Laurel,1978,6-6,190
Harry Laurie,1971,6-1,178
Walt Lautenbach,1950,6-2,185
Joffrey Lauvergne,2015,6-11,220
Tony Lavelli,1950,6-3,185
Zach LaVine,2015,6-5,200
Bob Lavoy,1951,6-7,185
Acie Law,2008,6-3,195
Gani Lawal,2011,6-9,234
Edmund Lawrence,1981,7-0,228
Jason Lawson,1998,6-11,240
Ty Lawson,2010,5-11,195
Jake Layman,2017,6-9,215
Mo Layton,1972,6-1,180
T.J. Leaf,2018,6-10,225
Manny Leaks,1969,6-8,225
Hal Lear,1957,6-0,163
Allen Leavell,1980,6-1,170
Jeff Lebo,1990,6-2,180
Eric Leckner,1989,6-11,265
Ricky Ledo,2014,6-7,195
Butch Lee,1979,6-0,185
Clyde Lee,1967,6-10,205
Courtney Lee,2009,6-5,215
Damion Lee,2018,6-6,210
David Lee,1968,6-7,225
David Lee,2006,6-9,245
Dick Lee,1968,6-6,200
Doug Lee,1992,6-5,200
George Lee,1961,6-4,190
Greg Lee,1975,6-3,215
Keith Lee,1986,6-10,190
