season,player,team,games_played,minutes_per_game
2002-2003,Eddie House,MIA,55,18.6
2002-2003,Allan Houston,NYK,82,37.9
2002-2003,Juwan Howard,DEN,77,35.4
2002-2003,Troy Hudson,MIN,79,32.9
2002-2003,Larry Hughes,WAS,67,31.9
2002-2003,Lindsey Hunter,TOR,29,23.2
2002-2003,Steven Hunter,ORL,33,13.5
2002-2003,Zydrunas Ilgauskas,CLE,81,30.0
2002-2003,Allen Iverson,PHI,82,42.5
2002-2003,Bobby Jackson,SAC,59,28.4
2002-2003,Jermaine Jackson,ATL,53,10.5
2002-2003,Jim Jackson,SAC,63,20.8
2002-2003,Marc Jackson,MIN,77,13.5
2002-2003,Mark Jackson,UTA,82,17.9
2002-2003,Stephen Jackson,SAS,80,28.1
2002-2003,Casey Jacobsen,PHX,72,15.9
2002-2003,Jerome James,SEA,51,15.0
2002-2003,Mike James,MIA,78,22.1
2002-2003,Antawn Jamison,GSW,82,39.3
2002-2003,Marko Jaric,LAC,66,20.9
2002-2003,Chris Jefferies,TOR,51,13.0
2002-2003,Richard Jefferson,NJN,80,36.0
2002-2003,Anthony Johnson,NJN,66,12.8
2002-2003,Ervin Johnson,MIL,69,17.0
2002-2003,Joe Johnson,PHX,82,27.5
2002-2003,Damon Jones,SAC,49,14.5
2002-2003,Eddie Jones,MIA,47,38.1
2002-2003,Jumaine Jones,CLE,80,27.6
2002-2003,Michael Jordan,WAS,82,37.0
2002-2003,Shawn Kemp,ORL,79,20.7
2002-2003,Steve Kerr,SAS,75,12.7
2002-2003,Jason Kidd,NJN,80,37.4
2002-2003,Andrei Kirilenko,UTA,80,27.7
2002-2003,Kerry Kittles,NJN,65,30.0
2002-2003,Brevin Knight,MEM,55,16.9
2002-2003,Toni Kukoc,MIL,63,27.0
2002-2003,Christian Laettner,WAS,76,29.2
2002-2003,Raef LaFrentz,DAL,69,23.3
2002-2003,Dan Langhi,PHX,60,9.0
2002-2003,Voshon Lenard,TOR,63,30.6
2002-2003,Rashard Lewis,SEA,77,39.5
2002-2003,Grant Long,BOS,41,11.9
2002-2003,Tyronn Lue,WAS,75,26.5
2002-2003,George Lynch,NOP,81,18.5
2002-2003,Todd MacCulloch,PHI,42,19.4
2002-2003,Mark Madsen,LAL,54,14.5
2002-2003,Corey Maggette,LAC,64,31.3
2002-2003,Jamaal Magloire,NOP,82,29.8
2002-2003,Karl Malone,UTA,81,36.2
2002-2003,Stephon Marbury,PHX,81,40.0
2002-2003,Shawn Marion,PHX,81,41.6
2002-2003,Donyell Marshall,CHI,78,30.5
2002-2003,Kenyon Martin,NJN,77,34.1
2002-2003,Jamal Mashburn,NOP,82,40.5
2002-2003,Anthony Mason,MIL,65,32.6
2002-2003,Desmond Mason,MIL,80,34.5
2002-2003,Tony Massenburg,UTA,58,13.7
2002-2003,Walter McCarty,BOS,82,23.8
2002-2003,Jelani McCoy,TOR,67,20.4
2002-2003,Tracy McGrady,ORL,75,39.4
2002-2003,Jeff McInnis,POR,75,17.5
2002-2003,Aaron McKie,PHI,80,29.7
2002-2003,Slava Medvedenko,LAL,58,10.7
2002-2003,Ron Mercer,IND,72,23.1
2002-2003,Chris Mihm,CLE,52,15.6
2002-2003,Darius Miles,CLE,67,30.0
2002-2003,Andre Miller,LAC,80,36.4
2002-2003,Brad Miller,IND,73,31.1
2002-2003,Mike Miller,MEM,65,33.6
2002-2003,Reggie Miller,IND,70,30.3
2002-2003,Yao Ming,HOU,82,29.1
2002-2003,Cuttino Mobley,HOU,73,41.7
2002-2003,Jerome Moiso,NOP,51,12.6
2002-2003,Terence Morris,HOU,49,12.9
2002-2003,Troy Murphy,GSW,79,31.8
2002-2003,Dikembe Mutombo,NJN,24,21.4
2002-2003,Shareef Abdur-Rahim,ATL,81,38.1
2002-2003,Courtney Alexander,NOP,66,20.6
2002-2003,Malik Allen,MIA,80,29.0
2002-2003,Ray Allen,SEA,76,37.9
2002-2003,Rafer Alston,TOR,47,20.8
2002-2003,Chris Andersen,DEN,59,15.4
2002-2003,Derek Anderson,POR,76,33.6
2002-2003,Kenny Anderson,NOP,61,18.6
2002-2003,Shandon Anderson,NYK,82,21.1
2002-2003,Gilbert Arenas,GSW,82,35.0
2002-2003,Darrell Armstrong,ORL,82,28.7
2002-2003,Chucky Atkins,DET,65,21.5
2002-2003,Stacey Augmon,NOP,70,12.3
2002-2003,Vin Baker,BOS,52,18.1
2002-2003,Brent Barry,SEA,75,33.1
2002-2003,Jon Barry,DET,80,18.4
2002-2003,Mike Batiste,MEM,75,16.7
2002-2003,Tony Battie,BOS,67,25.1
2002-2003,Shane Battier,MEM,78,30.6
2002-2003,Lonny Baxter,CHI,55,12.4
2002-2003,Raja Bell,DAL,75,15.6
2002-2003,Jonathan Bender,IND,46,17.8
2002-2003,Travis Best,MIA,72,25.1
2002-2003,Mike Bibby,SAC,55,33.4
2002-2003,Chauncey Billups,DET,74,31.4
2002-2003,Corie Blount,CHI,50,16.7
2002-2003,Mark Blount,BOS,81,17.3
2002-2003,Calvin Booth,SEA,47,12.2
2002-2003,Carlos Boozer,CLE,81,25.3
2002-2003,Bruce Bowen,SAS,82,31.3
2002-2003,Ryan Bowen,DEN,62,16.1
2002-2003,Earl Boykins,GSW,68,19.4
2002-2003,Michael Bradley,TOR,67,19.6
2002-2003,Shawn Bradley,DAL,81,21.4
2002-2003,Elton Brand,LAC,62,39.6
2002-2003,J.R. Bremer,BOS,64,23.5
2002-2003,Kedrick Brown,BOS,51,13.1
2002-2003,Kwame Brown,WAS,80,22.2
2002-2003,P.J. Brown,NOP,78,33.4
2002-2003,Kobe Bryant,LAL,82,41.5
2002-2003,Greg Buckner,PHI,75,20.2
2002-2003,Pat Burke,ORL,62,12.6
2002-2003,Caron Butler,MIA,78,36.6
2002-2003,Rasual Butler,MIA,72,21.0
2002-2003,Jason Caffey,MIL,51,17.5
2002-2003,Marcus Camby,DEN,29,21.2
2002-2003,Elden Campbell,SEA,56,15.5
2002-2003,Anthony Carter,MIA,49,18.6
2002-2003,Vince Carter,TOR,43,34.2
2002-2003,Sam Cassell,MIL,78,34.6
2002-2003,Kelvin Cato,HOU,73,17.2
2002-2003,Tyson Chandler,CHI,75,24.3
2002-2003,Calbert Cheaney,UTA,81,29.0
2002-2003,Doug Christie,SAC,80,33.9
2002-2003,Keon Clark,SAC,80,22.3
2002-2003,Speedy Claxton,SAS,30,15.7
2002-2003,Derrick Coleman,PHI,64,27.2
2002-2003,Bimbo Coles,BOS,35,19.7
2002-2003,Jason Collins,NJN,81,23.5
2002-2003,Jamal Crawford,CHI,80,24.9
2002-2003,Austin Croshere,IND,49,12.9
2002-2003,Eddy Curry,CHI,81,19.4
2002-2003,Michael Curry,DET,78,19.9
2002-2003,Erick Dampier,GSW,82,24.1
2002-2003,Antonio Daniels,POR,67,13.0
2002-2003,Antonio Davis,TOR,53,35.7
2002-2003,Baron Davis,NOP,50,37.8
2002-2003,Dale Davis,POR,78,29.3
2002-2003,Ricky Davis,CLE,79,39.6
2002-2003,Andrew DeClercq,ORL,77,17.2
2002-2003,Tony Delk,BOS,67,28.0
2002-2003,Dan Dickau,ATL,50,10.3
2002-2003,DeSagana Diop,CLE,80,11.8
2002-2003,Vlade Divac,SAC,80,29.8
2002-2003,Juan Dixon,WAS,42,15.4
2002-2003,Michael Doleac,NYK,75,13.9
2002-2003,Keyon Dooling,LAC,55,17.6
2002-2003,Peja Drobnjak,SEA,82,24.2
2002-2003,Tim Duncan,SAS,81,39.3
2002-2003,Mike Dunleavy,GSW,82,15.9
2002-2003,Howard Eisley,NYK,82,27.3
2002-2003,LaPhonso Ellis,MIA,55,14.3
2002-2003,Melvin Ely,LAC,52,15.4
2002-2003,Reggie Evans,SEA,67,20.4
2002-2003,Danny Ferry,SAS,65,9.2
2002-2003,Michael Finley,DAL,69,38.3
2002-2003,Derek Fisher,LAL,82,34.5
2002-2003,Marcus Fizer,CHI,38,21.3
2002-2003,Greg Foster,TOR,29,18.6
2002-2003,Jeff Foster,IND,77,10.6
2002-2003,Tremaine Fowlkes,LAC,37,15.5
2002-2003,Rick Fox,LAL,76,28.7
2002-2003,Adonal Foyle,GSW,82,21.8
2002-2003,Steve Francis,HOU,81,41.0
2002-2003,Dan Gadzuric,MIL,49,15.5
2002-2003,Kevin Garnett,MIN,82,40.5
2002-2003,Pat Garrity,ORL,81,31.9
2002-2003,Pau Gasol,MEM,82,35.9
2002-2003,Devean George,LAL,71,22.7
2002-2003,Kendall Gill,MIN,82,25.2
2001-2002,Clarence Weatherspoon,NYK,56,30.8
2001-2002,Chris Webber,SAC,54,38.4
2001-2002,Bonzi Wells,POR,74,31.7
2001-2002,David Wesley,CHA,67,37.1
2001-2002,Jahidi White,WAS,71,19.0
2001-2002,Chris Whitney,WAS,82,26.5
2001-2002,Aaron Williams,NJN,82,18.9
2001-2002,Alvin Williams,TOR,82,35.7
2001-2002,Eric Williams,BOS,74,23.6
2001-2002,Jason Williams,MEM,65,34.4
2001-2002,Jerome Williams,TOR,68,24.1
2001-2002,Monty Williams,ORL,68,18.9
2001-2002,Scott Williams,DEN,41,18.0
2001-2002,Shammond Williams,SEA,50,12.1
2001-2002,Walt Williams,HOU,48,23.3
2001-2002,Corliss Williamson,DET,78,21.8
2001-2002,Kevin Willis,HOU,52,16.7
2001-2002,Loren Woods,MIN,60,8.6
2001-2002,Metta World Peace,IND,55,29.8
2001-2002,Lorenzen Wright,MEM,43,29.1
2001-2002,Alonzo Mourning,MIA,75,32.7
2001-2002,Troy Murphy,GSW,82,17.7
2001-2002,Lamond Murray,CLE,71,32.6
2001-2002,Dikembe Mutombo,PHI,80,36.3
2001-2002,Lee Nailon,CHA,79,24.2
2001-2002,Eduardo Najera,DAL,62,21.9
2001-2002,Steve Nash,DAL,82,34.6
2001-2002,Tyrone Nesby,WAS,70,21.3
2001-2002,Rasho Nesterovic,MIN,82,27.0
2001-2002,Ira Newble,ATL,42,30.3
2001-2002,Johnny Newman,DAL,47,15.4
2001-2002,Moochie Norris,HOU,82,27.4
2001-2002,Dirk Nowitzki,DAL,76,38.0
2001-2002,Jermaine O'Neal,IND,72,37.6
2001-2002,Shaquille O'Neal,LAL,67,36.1
2001-2002,Charles Oakley,CHI,57,24.3
2001-2002,Lamar Odom,LAC,29,34.4
2001-2002,Hakeem Olajuwon,TOR,61,22.6
2001-2002,Kevin Ollie,IND,81,21.2
2001-2002,Michael Olowokandi,LAC,80,32.1
2001-2002,Greg Ostertag,UTA,74,15.0
2001-2002,Bo Outlaw,PHX,83,23.2
2001-2002,Scott Padgett,UTA,75,17.3
2001-2002,Milt Palacio,PHX,69,11.4
2001-2002,Tony Parker,SAS,77,29.4
2001-2002,Ruben Patterson,POR,75,23.5
2001-2002,Gary Payton,SEA,82,40.3
2001-2002,Anthony Peeler,MIN,82,25.1
2001-2002,Wesley Person,CLE,78,35.8
2001-2002,Morris Peterson,TOR,63,31.6
2001-2002,Eric Piatkowski,LAC,71,24.2
2001-2002,Paul Pierce,BOS,82,40.3
2001-2002,Scottie Pippen,POR,62,32.2
2001-2002,Scot Pollard,SAC,80,23.5
2001-2002,Terry Porter,SAS,72,18.0
2001-2002,James Posey,DEN,73,30.7
2001-2002,Vitaly Potapenko,BOS,79,17.0
2001-2002,Joel Przybilla,MIL,71,15.9
2001-2002,Vladimir Radmanovic,SEA,61,20.2
2001-2002,Zeljko Rebraca,DET,74,15.9
2001-2002,Michael Redd,MIL,67,21.1
2001-2002,Don Reid,ORL,68,10.5
2001-2002,Glen Rice,HOU,20,30.3
2001-2002,Jason Richardson,GSW,80,32.9
2001-2002,Quentin Richardson,LAC,81,26.6
2001-2002,Mitch Richmond,LAL,64,11.1
2001-2002,Cliff Robinson,DET,80,35.7
2001-2002,David Robinson,SAS,78,29.5
2001-2002,Eddie Robinson,CHI,29,22.5
2001-2002,Glenn Robinson,MIL,66,35.5
2001-2002,Rodney Rogers,BOS,77,24.4
2001-2002,Sean Rooks,LAC,61,11.9
2001-2002,Jalen Rose,CHI,83,38.0
2001-2002,Malik Rose,SAS,82,21.0
2001-2002,Bryon Russell,UTA,66,30.3
2001-2002,Kenny Satterfield,DEN,36,15.6
2001-2002,Brian Shaw,LAL,58,10.9
2001-2002,Brian Skinner,CLE,65,17.0
2001-2002,Charles Cornelius Smith,SAS,60,19.0
2001-2002,Joe Smith,MIN,72,26.7
2001-2002,Steve Smith,SAS,77,28.7
2001-2002,Eric Snow,PHI,61,36.5
2001-2002,Will Solomon,MEM,62,14.2
2001-2002,Latrell Sprewell,NYK,81,41.1
2001-2002,Jerry Stackhouse,DET,76,35.3
2001-2002,John Starks,UTA,66,14.1
2001-2002,Vladimir Stepania,MIA,67,13.2
2001-2002,DeShawn Stevenson,UTA,67,16.9
2001-2002,Bryant Stith,CLE,50,13.3
2001-2002,John Stockton,UTA,82,31.3
2001-2002,Peja Stojakovic,SAC,71,37.3
2001-2002,Damon Stoudamire,POR,75,37.3
2001-2002,Erick Strickland,BOS,79,20.8
2001-2002,Mark Strickland,ATL,46,14.2
2001-2002,Rod Strickland,MIA,76,30.2
2001-2002,Bob Sura,GSW,78,22.8
2001-2002,Stromile Swift,MEM,68,26.5
2001-2002,Wally Szczerbiak,MIN,82,38.0
2001-2002,Jason Terry,ATL,78,38.0
2001-2002,Etan Thomas,WAS,47,13.1
2001-2002,Kenny Thomas,HOU,72,34.5
2001-2002,Kurt Thomas,NYK,82,33.8
2001-2002,Tim Thomas,MIL,74,26.9
2001-2002,Jamaal Tinsley,IND,80,30.5
2001-2002,Oscar Torres,HOU,65,16.5
2001-2002,Robert Traylor,CHA,61,11.1
2001-2002,Gary Trent,MIN,64,17.8
2001-2002,Jake Tsakalidis,PHX,67,23.6
2001-2002,Hedo Turkoglu,SAC,80,24.6
2001-2002,Nick Van Exel,DAL,72,34.7
2001-2002,Keith Van Horn,NJN,81,30.4
2001-2002,Jacque Vaughn,ATL,82,22.6
2001-2002,Jake Voskuhl,PHX,59,15.3
2001-2002,Antoine Walker,BOS,81,42.0
2001-2002,Samaki Walker,LAL,69,24.0
2001-2002,Ben Wallace,DET,80,36.5
2001-2002,Rasheed Wallace,POR,79,37.5
2001-2002,Zhizhi Wang,DAL,55,10.9
2001-2002,Charlie Ward,NYK,63,16.8
2001-2002,Earl Watson,SEA,64,15.1
2001-2002,Adrian Griffin,DAL,58,23.8
2001-2002,Eddie Griffin,HOU,73,26.0
2001-2002,Tom Gugliotta,PHX,44,25.7
2001-2002,A.J. Guyton,CHI,45,13.5
2001-2002,Darvin Ham,MIL,70,17.3
2001-2002,Richard Hamilton,WAS,63,35.0
2001-2002,Zendon Hamilton,DEN,54,15.7
2001-2002,Penny Hardaway,PHX,80,30.8
2001-2002,Tim Hardaway,DEN,68,23.5
2001-2002,Matt Harpring,PHI,81,31.4
2001-2002,Al Harrington,IND,44,29.8
2001-2002,Othella Harrington,NYK,77,20.3
2001-2002,Lucious Harris,NJN,74,21.0
2001-2002,Donnell Harvey,DEN,47,17.9
2001-2002,Trenton Hassell,CHI,78,28.7
2001-2002,Brendan Haywood,WAS,62,20.4
2001-2002,Grant Hill,ORL,14,36.6
2001-2002,Tyrone Hill,CLE,26,31.2
2001-2002,Fred Hoiberg,CHI,79,17.8
2001-2002,Robert Horry,LAL,81,26.4
2001-2002,Eddie House,MIA,64,19.2
2001-2002,Allan Houston,NYK,77,37.8
2001-2002,Juwan Howard,DEN,81,32.5
2001-2002,Troy Hudson,ORL,81,22.9
2001-2002,Larry Hughes,GSW,73,28.1
2001-2002,Lindsey Hunter,LAL,82,19.7
2001-2002,Steven Hunter,ORL,53,9.7
2001-2002,Zydrunas Ilgauskas,CLE,62,21.4
2001-2002,Allen Iverson,PHI,60,43.7
2001-2002,Bobby Jackson,SAC,81,21.6
2001-2002,Jim Jackson,MIA,55,33.2
2001-2002,Marc Jackson,MIN,39,12.7
2001-2002,Mark Jackson,NYK,82,28.9
2001-2002,Jerome James,SEA,56,16.9
2001-2002,Antawn Jamison,GSW,82,37.0
2001-2002,Richard Jefferson,NJN,79,24.3
2001-2002,Anthony Johnson,NJN,34,10.8
2001-2002,Avery Johnson,DAL,68,19.9
2001-2002,DerMarr Johnson,ATL,72,24.0
2001-2002,Ervin Johnson,MIL,81,20.5
2001-2002,Joe Johnson,PHX,77,24.9
2001-2002,Damon Jones,DET,67,16.2
2001-2002,Eddie Jones,MIA,81,39.0
2001-2002,Jumaine Jones,CLE,81,26.4
2001-2002,Popeye Jones,WAS,79,24.3
2001-2002,Michael Jordan,WAS,60,34.9
2001-2002,Shawn Kemp,POR,75,16.4
2001-2002,Steve Kerr,POR,65,11.9
2001-2002,Jason Kidd,NJN,82,37.3
2001-2002,Andrei Kirilenko,UTA,82,26.2
2001-2002,Kerry Kittles,NJN,82,31.7
2001-2002,Brevin Knight,MEM,53,21.7
2001-2002,Toni Kukoc,ATL,59,25.3
2001-2002,Christian Laettner,WAS,57,25.3
2001-2002,Raef LaFrentz,DAL,78,31.5
2001-2002,Rusty LaRue,UTA,33,16.4
2001-2002,Voshon Lenard,DEN,71,23.5
2001-2002,Quincy Lewis,UTA,36,13.6
2001-2002,Rashard Lewis,SEA,71,36.4
2001-2002,Art Long,SEA,63,15.7
2001-2002,Grant Long,MEM,66,28.3
2001-2002,Felipe Lopez,MIN,67,8.7
2001-2002,Tyronn Lue,WAS,71,20.5
2001-2002,George Lynch,CHA,45,19.8
2001-2002,Todd MacCulloch,NJN,62,24.2
2001-2002,Mark Madsen,LAL,59,11.0
2001-2002,Corey Maggette,LAC,63,25.6
2001-2002,Jamaal Magloire,CHA,82,18.9
2001-2002,Dan Majerle,PHX,65,18.2
2001-2002,Karl Malone,UTA,80,38.0
2001-2002,Danny Manning,DAL,41,13.5
2001-2002,Stephon Marbury,PHX,82,38.9
2001-2002,Shawn Marion,PHX,81,38.4
2001-2002,Donyell Marshall,UTA,58,30.2
2001-2002,Kenyon Martin,NJN,73,34.3
2001-2002,Jamal Mashburn,CHA,40,40.0
2001-2002,Anthony Mason,MIL,82,38.3
2001-2002,Desmond Mason,SEA,75,32.3
2001-2002,Tony Massenburg,MEM,73,17.0
2001-2002,Walter McCarty,BOS,56,12.8
2001-2002,George McCloud,DEN,69,26.5
2001-2002,Tracy McGrady,ORL,76,38.3
2001-2002,Jeff McInnis,LAC,81,37.4
2001-2002,Derrick McKey,PHI,41,19.1
2001-2002,Aaron McKie,PHI,48,30.6
2001-2002,Slava Medvedenko,LAL,71,10.3
2001-2002,Ron Mercer,IND,53,32.4
2001-2002,Chris Mihm,CLE,74,22.4
2001-2002,Darius Miles,LAC,82,27.2
2001-2002,Andre Miller,CLE,81,37.3
2001-2002,Brad Miller,IND,76,29.8
2001-2002,Mike Miller,ORL,63,33.7
2001-2002,Reggie Miller,IND,79,36.6
2001-2002,Chris Mills,GSW,66,18.7
2001-2002,Sam Mitchell,MIN,74,9.8
2001-2002,Cuttino Mobley,HOU,74,42.1
2001-2002,Nazr Mohammed,ATL,82,26.4
2001-2002,Eric Montross,TOR,49,13.4
2001-2002,Terence Morris,HOU,68,16.3
2001-2002,Hanno Mottola,ATL,82,16.7
2001-2002,Shareef Abdur-Rahim,ATL,77,38.7
2001-2002,Courtney Alexander,WAS,56,23.7
2001-2002,Ray Allen,MIL,69,36.6
2001-2002,Rafer Alston,MIL,50,12.0
2001-2002,John Amaechi,UTA,54,10.9
2001-2002,Derek Anderson,POR,70,26.6
2001-2002,Kenny Anderson,BOS,76,32.0
2001-2002,Shandon Anderson,NYK,82,19.5
2001-2002,Greg Anthony,MIL,60,25.2
2001-2002,Gilbert Arenas,GSW,47,24.6
2001-2002,Darrell Armstrong,ORL,82,33.3
2001-2002,Chucky Atkins,DET,79,28.9
2001-2002,Stacey Augmon,CHA,77,17.1
2001-2002,Dalibor Bagaric,CHI,50,12.8
2001-2002,Vin Baker,SEA,55,31.1
2001-2002,Dana Barros,DET,29,20.1
2001-2002,Brent Barry,SEA,81,37.5
2001-2002,Jon Barry,DET,82,24.2
2001-2002,Tony Battie,BOS,74,24.6
2001-2002,Shane Battier,MEM,78,39.7
2001-2002,Raja Bell,PHI,74,12.0
2001-2002,Jonathan Bender,IND,78,21.1
2001-2002,Travis Best,CHI,74,23.6
2001-2002,Mike Bibby,SAC,80,33.2
2001-2002,Chauncey Billups,MIN,82,28.7
2001-2002,Mookie Blaylock,GSW,35,17.1
2001-2002,Corie Blount,PHI,72,19.8
2001-2002,Cal Bowdler,ATL,52,11.2
2001-2002,Bruce Bowen,SAS,59,28.8
2001-2002,Ryan Bowen,DEN,75,22.5
2001-2002,Earl Boykins,LAC,68,11.2
2001-2002,Shawn Bradley,DAL,53,14.3
2001-2002,Elton Brand,LAC,80,37.8
2001-2002,Terrell Brandon,MIN,32,30.1
2001-2002,Kwame Brown,WAS,57,14.4
2001-2002,P.J. Brown,CHA,80,32.0
2001-2002,Rick Brunson,POR,59,8.8
2001-2002,Kobe Bryant,LAL,80,38.3
2001-2002,Greg Buckner,DAL,44,20.1
2001-2002,Jud Buechler,ORL,66,10.4
2001-2002,Rodney Buford,MEM,63,28.1
2001-2002,Marcus Camby,NYK,29,34.7
2001-2002,Elden Campbell,CHA,77,28.0
2001-2002,Anthony Carter,MIA,46,22.8
2001-2002,Vince Carter,TOR,60,39.8
2001-2002,Sam Cassell,MIL,74,35.2
2001-2002,Kelvin Cato,HOU,75,25.5
2001-2002,Tyson Chandler,CHI,71,19.6
2001-2002,Calbert Cheaney,DEN,68,24.0
2001-2002,Chris Childs,TOR,69,22.8
2001-2002,Doug Christie,SAC,81,34.5
2001-2002,Keon Clark,TOR,81,27.0
2001-2002,Speedy Claxton,PHI,67,22.8
2001-2002,Derrick Coleman,PHI,58,35.9
2001-2002,Bimbo Coles,CLE,47,14.7
2001-2002,Jarron Collins,UTA,70,20.6
2001-2002,Jason Collins,NJN,77,18.3
2001-2002,Austin Croshere,IND,76,16.9
2001-2002,John Crotty,UTA,41,19.6
2001-2002,Vonteego Cummings,PHI,58,8.6
2001-2002,Dell Curry,TOR,56,15.8
2001-2002,Eddy Curry,CHI,72,16.0
2001-2002,Michael Curry,DET,82,23.3
2001-2002,Erick Dampier,GSW,73,23.8
2001-2002,Antonio Daniels,SAS,82,26.5
2001-2002,Antonio Davis,TOR,77,38.7
2001-2002,Baron Davis,CHA,82,40.5
2001-2002,Dale Davis,POR,78,31.4
2001-2002,Emanual Davis,ATL,28,27.6
2001-2002,Hubert Davis,WAS,51,24.1
2001-2002,Ricky Davis,CLE,82,23.8
2001-2002,Andrew DeClercq,ORL,61,10.4
2001-2002,Tony Delk,BOS,63,23.0
2001-2002,Vlade Divac,SAC,80,30.2
2001-2002,Michael Doleac,CLE,42,16.8
2001-2002,Bryce Drew,CHA,61,12.7
2001-2002,Peja Drobnjak,SEA,64,18.3
2001-2002,Tim Duncan,SAS,82,40.6
2001-2002,Howard Eisley,NYK,39,15.6
2001-2002,LaPhonso Ellis,MIA,66,25.5
2001-2002,Patrick Ewing,ORL,65,13.9
2001-2002,Danny Ferry,SAS,50,15.9
2001-2002,Michael Finley,DAL,69,39.9
2001-2002,Derek Fisher,LAL,70,28.2
2001-2002,Marcus Fizer,CHI,76,25.8
2001-2002,Danny Fortson,GSW,77,28.8
2001-2002,Jeff Foster,IND,82,21.8
2001-2002,Rick Fox,LAL,82,27.9
2001-2002,Adonal Foyle,GSW,79,18.8
2001-2002,Steve Francis,HOU,57,41.1
2001-2002,Lawrence Funderburke,SAC,56,12.9
2001-2002,Kevin Garnett,MIN,81,39.2
2001-2002,Pat Garrity,ORL,80,30.1
2001-2002,Pau Gasol,MEM,82,36.7
2001-2002,Chris Gatling,MIA,54,15.0
2001-2002,Devean George,LAL,82,21.5
2001-2002,Kendall Gill,MIA,65,21.7
2001-2002,Dion Glover,ATL,55,21.0
2001-2002,Brian Grant,MIA,72,31.3
2001-2002,Horace Grant,ORL,76,29.1
2000-2001,John Wallace,DET,40,13.2
2000-2001,Rasheed Wallace,POR,77,38.2
2000-2001,Charlie Ward,NYK,61,24.5
2000-2001,Clarence Weatherspoon,CLE,82,33.8
2000-2001,Chris Webber,SAC,70,40.5
2000-2001,Bonzi Wells,POR,75,26.6
2000-2001,David Wesley,CHA,82,37.9
2000-2001,Jahidi White,WAS,68,23.7
2000-2001,Chris Whitney,WAS,59,26.0
2000-2001,Aaron Williams,NJN,82,28.5
2000-2001,Alvin Williams,TOR,82,29.2
2000-2001,Eric Williams,BOS,81,21.5
2000-2001,Jason Williams,SAC,77,29.7
2000-2001,Jerome Williams,TOR,59,20.0
2000-2001,Monty Williams,ORL,82,14.8
2000-2001,Scott Williams,MIL,66,19.3
2000-2001,Shammond Williams,SEA,69,17.9
2000-2001,Walt Williams,HOU,72,22.0
2000-2001,Corliss Williamson,DET,69,24.4
2000-2001,Kevin Willis,DEN,78,23.5
2000-2001,Metta World Peace,CHI,76,31.1
2000-2001,Lorenzen Wright,ATL,71,28.0
2000-2001,Tracy Murray,TOR,51,11.5
2000-2001,Dikembe Mutombo,PHI,75,34.5
2000-2001,Eduardo Najera,DAL,40,10.8
2000-2001,Steve Nash,DAL,70,34.1
2000-2001,Tyrone Nesby,WAS,62,25.1
2000-2001,Rasho Nesterovic,MIN,73,16.9
2000-2001,Johnny Newman,NJN,82,25.0
2000-2001,Moochie Norris,HOU,82,20.2
2000-2001,Dirk Nowitzki,DAL,82,38.1
2000-2001,Jermaine O'Neal,IND,81,32.6
2000-2001,Shaquille O'Neal,LAL,74,39.5
2000-2001,Charles Oakley,TOR,78,35.5
2000-2001,Lamar Odom,LAC,76,37.3
2000-2001,Hakeem Olajuwon,HOU,58,26.6
2000-2001,Kevin Ollie,PHI,70,13.2
2000-2001,Michael Olowokandi,LAC,82,25.9
2000-2001,Greg Ostertag,UTA,81,18.4
2000-2001,Bo Outlaw,ORL,80,31.7
2000-2001,Billy Owens,DET,45,17.6
2000-2001,Robert Pack,DEN,74,17.0
2000-2001,Milt Palacio,BOS,58,19.7
2000-2001,Cherokee Parks,LAC,65,16.2
2000-2001,Ruben Patterson,SEA,76,27.1
2000-2001,Gary Payton,SEA,79,41.1
2000-2001,Anthony Peeler,MIN,75,28.3
2000-2001,Mike Penberthy,LAL,53,16.1
2000-2001,Sam Perkins,IND,64,15.6
2000-2001,Elliot Perry,PHX,49,10.2
2000-2001,Wesley Person,CLE,44,21.8
2000-2001,Morris Peterson,TOR,80,22.6
2000-2001,Eric Piatkowski,LAC,81,26.5
2000-2001,Paul Pierce,BOS,82,38.0
2000-2001,Scottie Pippen,POR,64,33.3
2000-2001,Scot Pollard,SAC,77,21.5
2000-2001,Olden Polynice,UTA,81,20.0
2000-2001,Mark Pope,MIL,63,15.0
2000-2001,Chris Porter,GSW,51,22.5
2000-2001,Terry Porter,SAS,80,21.0
2000-2001,James Posey,DEN,82,27.5
2000-2001,Vitaly Potapenko,BOS,82,23.2
2000-2001,Laron Profit,WAS,35,17.3
2000-2001,Theo Ratliff,PHI,50,36.0
2000-2001,Bryant Reeves,VAN,75,24.4
2000-2001,Don Reid,ORL,65,11.8
2000-2001,Glen Rice,NYK,75,29.5
2000-2001,Quentin Richardson,LAC,76,17.9
2000-2001,Mitch Richmond,WAS,37,32.9
2000-2001,J.R. Rider,LAL,67,18.0
2000-2001,Cliff Robinson,PHX,82,33.5
2000-2001,David Robinson,SAS,80,29.6
2000-2001,Eddie Robinson,CHA,67,17.9
2000-2001,Glenn Robinson,MIL,76,37.0
2000-2001,Larry Robinson,ATL,34,18.6
2000-2001,Carlos Rogers,HOU,39,13.9
2000-2001,Rodney Rogers,PHX,82,26.6
2000-2001,Sean Rooks,LAC,82,18.9
2000-2001,Jalen Rose,IND,72,40.9
2000-2001,Malik Rose,SAS,57,21.4
