season,player,team,games_played,minutes_per_game
2007-2008,Quentin Richardson,NYK,65,28.3
2007-2008,Luke Ridnour,SEA,61,20.0
2007-2008,Nate Robinson,NYK,72,26.2
2007-2008,Sergio Rodriguez,POR,72,8.7
2007-2008,Rajon Rondo,BOS,77,29.9
2007-2008,Quinton Ross,LAC,76,19.8
2007-2008,Brandon Roy,POR,74,37.7
2007-2008,Michael Ruffin,MIL,46,13.7
2007-2008,Kareem Rush,IND,71,21.2
2007-2008,John Salmons,SAC,81,31.1
2007-2008,Brian Scalabrine,BOS,48,10.7
2007-2008,Luis Scola,HOU,82,24.7
2007-2008,Thabo Sefolosha,CHI,69,20.8
2007-2008,Bobby Simmons,MIL,70,21.7
2007-2008,Brian Skinner,PHX,66,12.8
2007-2008,Craig Smith,MIN,77,20.1
2007-2008,J.R. Smith,DEN,74,19.2
2007-2008,Jason Smith,PHI,76,14.6
2007-2008,Joe Smith,CLE,77,22.4
2007-2008,Josh Smith,ATL,81,35.5
2007-2008,Kirk Snyder,MIN,36,21.1
2007-2008,Darius Songaila,WAS,80,19.4
2007-2008,Jerry Stackhouse,DAL,58,24.4
2007-2008,DeShawn Stevenson,WAS,82,31.3
2007-2008,Peja Stojakovic,NOP,77,35.2
2007-2008,Damon Stoudamire,SAS,60,17.3
2007-2008,Amar'e Stoudemire,PHX,79,33.9
2007-2008,Rodney Stuckey,DET,57,19.0
2007-2008,Stromile Swift,NJN,56,15.1
2007-2008,Wally Szczerbiak,CLE,75,23.2
2007-2008,Sebastian Telfair,MIN,60,32.2
2007-2008,Jason Terry,DAL,82,31.4
2007-2008,Kurt Thomas,SAS,70,22.6
2007-2008,Tim Thomas,LAC,63,30.8
2007-2008,Tyrus Thomas,CHI,74,18.0
2007-2008,Al Thornton,LAC,79,27.3
2007-2008,Jamaal Tinsley,IND,39,33.2
2007-2008,Ronny Turiaf,LAL,78,18.7
2007-2008,Hedo Turkoglu,ORL,82,36.9
2007-2008,Ime Udoka,SAS,73,18.0
2007-2008,Beno Udrih,SAC,65,32.0
2007-2008,Anderson Varejao,CLE,48,27.5
2007-2008,Jacque Vaughn,SAS,74,15.4
2007-2008,Charlie Villanueva,MIL,76,24.1
2007-2008,Sasha Vujacic,LAL,72,17.8
2007-2008,Dwyane Wade,MIA,51,38.3
2007-2008,Antoine Walker,MIN,46,19.4
2007-2008,Ben Wallace,CLE,72,30.6
2007-2008,T.J. Ford,TOR,51,23.5
2007-2008,Jeff Foster,IND,77,24.5
2007-2008,Randy Foye,MIN,39,32.3
2007-2008,Adonal Foyle,ORL,82,9.4
2007-2008,Channing Frye,POR,78,17.2
2007-2008,Dan Gadzuric,MIL,51,10.5
2007-2008,Francisco Garcia,SAC,79,26.5
2007-2008,Kevin Garnett,BOS,71,32.8
2007-2008,Pau Gasol,LAL,66,35.6
2007-2008,Rudy Gay,MEM,81,37.0
2007-2008,Devean George,DAL,53,15.5
2007-2008,Daniel Gibson,CLE,58,30.4
2007-2008,Manu Ginobili,SAS,74,31.1
2007-2008,Gordan Giricek,PHX,56,14.8
2007-2008,Ryan Gomes,MIN,82,29.7
2007-2008,Drew Gooden,CHI,69,30.7
2007-2008,Ben Gordon,CHI,72,31.8
2007-2008,Danny Granger,IND,80,35.9
2007-2008,Aaron Gray,CHI,61,10.0
2007-2008,Jeff Green,SEA,80,28.2
2007-2008,Willie Green,PHI,74,26.6
2007-2008,Richard Hamilton,DET,72,33.7
2007-2008,Matt Harpring,UTA,76,18.1
2007-2008,Al Harrington,GSW,81,27.0
2007-2008,Devin Harris,NJN,64,31.6
2007-2008,David Harrison,IND,55,12.8
2007-2008,Jason Hart,UTA,57,10.6
2007-2008,Udonis Haslem,MIA,49,36.8
2007-2008,Trenton Hassell,NJN,63,12.3
2007-2008,Spencer Hawes,SAC,71,13.1
2007-2008,Chuck Hayes,HOU,79,19.9
2007-2008,Jarvis Hayes,DET,82,15.7
2007-2008,Brendan Haywood,WAS,80,27.8
2007-2008,Luther Head,HOU,73,18.9
2007-2008,Grant Hill,PHX,70,31.7
2007-2008,Kirk Hinrich,CHI,75,31.7
2007-2008,Ryan Hollins,CHA,60,8.9
2007-2008,Al Horford,ATL,81,31.4
2007-2008,Robert Horry,SAS,45,12.9
2007-2008,Eddie House,BOS,78,19.0
2007-2008,Dwight Howard,ORL,82,37.7
2007-2008,Josh Howard,DAL,76,36.3
2007-2008,Larry Hughes,CHI,68,29.7
2007-2008,Kris Humphries,TOR,70,13.2
2007-2008,Andre Iguodala,PHI,82,39.5
2007-2008,Zydrunas Ilgauskas,CLE,73,30.4
2007-2008,Allen Iverson,DEN,82,41.8
2007-2008,Royal Ivey,MIL,75,19.2
2007-2008,Jarrett Jack,POR,82,27.2
2007-2008,Bobby Jackson,HOU,72,19.3
2007-2008,Stephen Jackson,GSW,73,39.1
2007-2008,Casey Jacobsen,MEM,53,10.3
2007-2008,LeBron James,CLE,75,40.4
2007-2008,Mike James,NOP,54,13.3
2007-2008,Antawn Jamison,WAS,79,38.7
2007-2008,Marko Jaric,MIN,75,29.2
2007-2008,Al Jefferson,MIN,82,35.6
2007-2008,Richard Jefferson,NJN,82,39.0
2007-2008,Jared Jeffries,NYK,73,18.1
2007-2008,Alexander Johnson,MIA,43,12.8
2007-2008,Amir Johnson,DET,62,12.3
2007-2008,Anthony Johnson,SAC,69,22.2
2007-2008,Joe Johnson,ATL,82,40.8
2007-2008,Bobby Jones,DEN,47,11.3
2007-2008,Damon Jones,CLE,67,19.9
2007-2008,Dwayne Jones,CLE,56,8.4
2007-2008,Eddie Jones,DAL,47,19.6
2007-2008,Fred Jones,NYK,70,25.1
2007-2008,James Jones,POR,58,22.0
2007-2008,Chris Kaman,LAC,56,37.2
2007-2008,Jason Kapono,TOR,81,18.9
2007-2008,Jason Kidd,DAL,80,36.3
2007-2008,Andrei Kirilenko,UTA,72,30.8
2007-2008,Linas Kleiza,DEN,79,23.9
2007-2008,Brevin Knight,LAC,74,22.6
2007-2008,Kyle Korver,UTA,75,23.1
2007-2008,Nenad Krstic,NJN,45,18.0
2007-2008,Carl Landry,HOU,42,16.9
2007-2008,Acie Law,ATL,56,15.5
2007-2008,David Lee,NYK,81,29.1
2007-2008,Rashard Lewis,ORL,81,38.0
2007-2008,Kyle Lowry,MEM,82,25.5
2007-2008,Tyronn Lue,DAL,50,14.7
2007-2008,Corey Maggette,LAC,70,35.7
2007-2008,Stephon Marbury,NYK,24,33.5
2007-2008,Shawn Marion,MIA,63,36.7
2007-2008,Kenyon Martin,DEN,71,30.4
2007-2008,Kevin Martin,SAC,61,36.3
2007-2008,Desmond Mason,MIL,59,28.8
2007-2008,Roger Mason,WAS,80,21.4
2007-2008,Jason Maxiell,DET,82,21.6
2007-2008,Rashad McCants,MIN,75,26.9
2007-2008,Antonio McDyess,DET,78,29.3
2007-2008,Tracy McGrady,HOU,66,37.0
2007-2008,Dominic McGuire,WAS,70,9.9
2007-2008,Jeff McInnis,CHA,54,26.1
2007-2008,C.J. Miles,UTA,60,11.5
2007-2008,Darko Milicic,MEM,70,23.8
2007-2008,Andre Miller,PHI,82,36.8
2007-2008,Brad Miller,SAC,72,34.9
2007-2008,Arron Afflalo,DET,75,12.9
2007-2008,LaMarcus Aldridge,POR,76,34.9
2007-2008,Malik Allen,DAL,73,15.0
2007-2008,Ray Allen,BOS,73,35.9
2007-2008,Tony Allen,BOS,75,18.3
2007-2008,Rafer Alston,HOU,74,34.1
2007-2008,Carmelo Anthony,DEN,77,36.4
2007-2008,Gilbert Arenas,WAS,13,32.7
2007-2008,Trevor Ariza,LAL,35,15.6
2007-2008,Darrell Armstrong,NJN,50,11.0
2007-2008,Hilton Armstrong,NOP,65,11.3
2007-2008,Carlos Arroyo,ORL,62,20.5
2007-2008,Kelenna Azubuike,GSW,81,21.4
2007-2008,Renaldo Balkman,NYK,65,14.6
2007-2008,Marcus Banks,MIA,36,15.8
2007-2008,Leandro Barbosa,PHX,82,29.5
2007-2008,Andrea Bargnani,TOR,78,23.9
2007-2008,Matt Barnes,GSW,73,19.4
2007-2008,Earl Barron,MIA,46,19.3
2007-2008,Brent Barry,SAS,31,17.9
2007-2008,Brandon Bass,DAL,79,19.7
2007-2008,Shane Battier,HOU,80,36.3
2007-2008,Charlie Bell,MIL,68,23.9
2007-2008,Raja Bell,PHX,75,35.3
2007-2008,Mike Bibby,ATL,48,32.8
2007-2008,Andris Biedrins,GSW,76,27.3
2007-2008,Chauncey Billups,DET,78,32.3
2007-2008,Steve Blake,POR,81,29.9
2007-2008,Andray Blatche,WAS,82,20.4
2007-2008,Mark Blount,MIA,69,22.3
2007-2008,Keith Bogans,ORL,82,26.8
2007-2008,Andrew Bogut,MIL,78,34.9
2007-2008,Matt Bonner,SAS,68,12.5
2007-2008,Josh Boone,NJN,70,25.3
