player,player_salary,season
Trevor Booker,"$9,250,000",2016/17
Meyers Leonard,"$9,213,484",2016/17
Gerald Henderson,"$9,000,000",2016/17
Moe Harkless,"$8,988,764",2016/17
Taj Gibson,"$8,950,000",2016/17
E'Twaun Moore,"$8,801,363",2016/17
Kris Humphries,"$8,630,000",2016/17
Ersan Ilyasova,"$8,400,000",2016/17
Dwight Powell,"$8,375,000",2016/17
Avery Bradley,"$8,269,663",2016/17
Tiago Splitter,"$8,250,000",2016/17
Darrell Arthur,"$8,070,175",2016/17
Kosta Koufos,"$8,046,500",2016/17
Tyler Zeller,"$8,000,000",2016/17
Jeff Teague,"$8,000,000",2016/17
Kevin Garnett,"$8,000,000",2016/17
Garrett Temple,"$8,000,000",2016/17
Anthony Tolliver,"$8,000,000",2016/17
George Hill,"$8,000,000",2016/17
Channing Frye,"$7,806,971",2016/17
Trevor Ariza,"$7,800,000",2016/17
Jose Calderon,"$7,708,427",2016/17
Al-Farouq Aminu,"$7,680,965",2016/17
Cole Aldrich,"$7,643,979",2016/17
Corey Brewer,"$7,612,172",2016/17
Festus Ezeli,"$7,400,000",2016/17
Markieff Morris,"$7,400,000",2016/17
JJ Redick,"$7,377,500",2016/17
Cory Joseph,"$7,315,000",2016/17
DJ Augustin,"$7,250,000",2016/17
Jeremy Lamb,"$7,000,000",2016/17
Louis Williams,"$7,000,000",2016/17
Rodney Stuckey,"$7,000,000",2016/17
Boris Diaw,"$7,000,000",2016/17
Sergio Rodriguez,"$6,800,000",2016/17
Carl Landry,"$6,750,000",2016/17
Ed Davis,"$6,666,667",2016/17
Isaiah Thomas,"$6,587,131",2016/17
Victor Oladipo,"$6,552,960",2016/17
Jodie Meeks,"$6,540,000",2016/17
Matt Barnes,"$6,508,351",2016/17
Aron Baynes,"$6,500,000",2016/17
Marco Belinelli,"$6,333,333",2016/17
Jae Crowder,"$6,286,408",2016/17
Tarik Black,"$6,191,000",2016/17
Lance Thomas,"$6,191,000",2016/17
Andrew Nicholson,"$6,088,993",2016/17
Patrick Patterson,"$6,050,000",2016/17
Andrew Wiggins,"$6,006,600",2016/17
Ramon Sessions,"$6,000,000",2016/17
Ishmael Smith,"$6,000,000",2016/17
Patrick Beverley,"$6,000,000",2016/17
Wayne Ellington,"$6,000,000",2016/17
Alex Abrines,"$5,994,764",2016/17
Karl-Anthony Towns,"$5,960,160",2016/17
Ben Simmons,"$5,903,160",2016/17
Otto Porter,"$5,893,981",2016/17
Nikola Mirotic,"$5,782,450",2016/17
Shaun Livingston,"$5,782,450",2016/17
Josh McRoberts,"$5,782,450",2016/17
Spencer Hawes,"$5,782,450",2016/17
Brandan Wright,"$5,709,880",2016/17
Tim Duncan,"$5,643,750",2016/17
Boban Marjanovic,"$5,628,000",2016/17
Wesley Johnson,"$5,628,000",2016/17
Tyler Johnson,"$5,628,000",2016/17
Jared Sullinger,"$5,628,000",2016/17
Brandon Jennings,"$5,587,318",2016/17
Nick Young,"$5,443,918",2016/17
Jabari Parker,"$5,374,320",2016/17
Lance Stephenson,"$5,371,672",2016/17
D'Angelo Russell,"$5,332,800",2016/17
Josh Smith,"$5,331,729",2016/17
Cody Zeller,"$5,318,313",2016/17
PJ Tucker,"$5,300,000",2016/17
Brandon Ingram,"$5,281,680",2016/17
Kyle Korver,"$5,239,437",2016/17
Darren Collison,"$5,229,454",2016/17
Larry Sanders,"$5,207,722",2016/17
Langston Galloway,"$5,200,000",2016/17
Derrick Williams,"$5,020,145",2016/17
Jonas Jerebko,"$5,000,000",2016/17
Luis Scola,"$5,000,000",2016/17
Roy Hibbert,"$5,000,000",2016/17
Tony Allen,"$5,000,000",2016/17
CJ Watson,"$5,000,000",2016/17
Jason Smith,"$5,000,000",2016/17
Alexis Ajinca,"$4,863,206",2016/17
Mike Dunleavy,"$4,837,500",2016/17
Kyle Singler,"$4,837,500",2016/17
Joel Embiid,"$4,826,160",2016/17
Alex Len,"$4,823,621",2016/17
Jahlil Okafor,"$4,788,840",2016/17
Jaylen Brown,"$4,743,000",2016/17
Marcus Morris,"$4,625,000",2016/17
CJ Miles,"$4,583,450",2016/17
Jameer Nelson,"$4,540,525",2016/17
Nerlens Noel,"$4,384,490",2016/17
Aaron Gordon,"$4,351,320",2016/17
Greivis Vasquez,"$4,347,826",2016/17
Kristaps Porzingis,"$4,317,720",2016/17
Dragan Bender,"$4,276,320",2016/17
Vince Carter,"$4,264,057",2016/17
Devin Harris,"$4,227,996",2016/17
Jose Juan Barea,"$4,096,950",2016/17
Ben McLemore,"$4,008,882",2016/17
Thabo Sefolosha,"$4,000,000",2016/17
James Johnson,"$4,000,000",2016/17
Udonis Haslem,"$4,000,000",2016/17
Jordan Hill,"$4,000,000",2016/17
Leandro Barbosa,"$4,000,000",2016/17
Dante Exum,"$3,940,320",2016/17
Kyle O'Quinn,"$3,918,750",2016/17
Mario Hezonja,"$3,909,840",2016/17
Kris Dunn,"$3,872,520",2016/17
Nemanja Bjelica,"$3,800,000",2016/17
Nick Collison,"$3,750,000",2016/17
Kentavious Caldwell-Pope,"$3,678,319",2016/17
Quincy Pondexter,"$3,617,978",2016/17
Marcus Smart,"$3,578,880",2016/17
Bojan Bogdanovic,"$3,573,020",2016/17
Willie Cauley-Stein,"$3,551,160",2016/17
Will Barton,"$3,533,333",2016/17
Paul Pierce,"$3,527,920",2016/17
Buddy Hield,"$3,517,200",2016/17
Mike Miller,"$3,500,000",2016/17
Lavoy Allen,"$3,500,000",2016/17
Brandon Rush,"$3,500,000",2016/17
Anthony Morrow,"$3,488,000",2016/17
Trey Burke,"$3,386,597",2016/17
Kevin Martin,"$3,336,000",2016/17
KJ McDaniels,"$3,333,333",2016/17
Mike Scott,"$3,333,333",2016/17
Troy Daniels,"$3,332,940",2016/17
Julius Randle,"$3,267,120",2016/17
Ronnie Price,"$3,251,227",2016/17
Emmanuel Mudiay,"$3,241,800",2016/17
CJ McCollum,"$3,219,579",2016/17
Jamal Murray,"$3,210,840",2016/17
Patrick Mills,"$3,200,000",2016/17
Michael Carter-Williams,"$3,183,526",2016/17
Omri Casspi,"$3,149,524",2016/17
Steven Adams,"$3,140,517",2016/17
Kelly Olynyk,"$3,094,013",2016/17
Shabazz Muhammad,"$3,046,299",2016/17
Justin Hamilton,"$3,000,000",2016/17
Dante Cunningham,"$3,000,000",2016/17
Giannis Antetokounmpo,"$2,995,420",2016/17
Nik Stauskas,"$2,993,040",2016/17
Stanley Johnson,"$2,969,880",2016/17
Quincy Acy,"$2,965,505",2016/17
Marquese Chriss,"$2,941,440",2016/17
Seth Curry,"$2,898,000",2016/17
Zaza Pachulia,"$2,898,000",2016/17
Nenê,"$2,898,000",2016/17
James Ennis,"$2,898,000",2016/17
Dion Waiters,"$2,898,000",2016/17
Mindaugas Kuzminskas,"$2,898,000",2016/17
Dewayne Dedmon,"$2,898,000",2016/17
Tomas Satoransky,"$2,870,813",2016/17
Tibor Pleiss,"$2,800,000",2016/17
Noah Vonleh,"$2,751,360",2016/17
Frank Kaminsky,"$2,730,000",2016/17
Dennis Schroeder,"$2,708,582",2016/17
Jakob Poeltl,"$2,703,960",2016/17
Aaron Brooks,"$2,700,000",2016/17
Elfrid Payton,"$2,613,600",2016/17
Justise Winslow,"$2,593,440",2016/17
Thon Maker,"$2,568,600",2016/17
Malcolm Delaney,"$2,500,000",2016/17
Randy Foye,"$2,500,000",2016/17
Richard Jefferson,"$2,500,000",2016/17
Martell Webster,"$2,500,000",2016/17
Doug McDermott,"$2,483,040",2016/17
Domantas Sabonis,"$2,440,200",2016/17
Shelvin Mack,"$2,433,334",2016/17
Myles Turner,"$2,380,440",2016/17
Tony Snell,"$2,368,327",2016/17
Archie Goodwin,"$2,350,999",2016/17
Gorgui Dieng,"$2,348,782",2016/17
Trey Lyles,"$2,340,600",2016/17
Mason Plumlee,"$2,328,530",2016/17
Taurean Prince,"$2,318,280",2016/17
Dario Saric,"$2,318,280",2016/17
Tim Hardaway Jr,"$2,281,605",2016/17
Reggie Bullock,"$2,255,644",2016/17
Alonzo Gee,"$2,255,408",2016/17
Zach LaVine,"$2,240,880",2016/17
Devin Booker,"$2,223,600",2016/17
Luc Mbah a Moute,"$2,203,000",2016/17
Georgios Papagiannis,"$2,202,240",2016/17
Maurice Williams,"$2,194,500",2016/17
Andre Roberson,"$2,183,072",2016/17
TJ Warren,"$2,128,920",2016/17
Rudy Gobert,"$2,121,287",2016/17
Cameron Payne,"$2,112,480",2016/17
Joe Ingles,"$2,100,000",2016/17
Denzel Valentine,"$2,092,200",2016/17
Tim Frazier,"$2,090,000",2016/17
Adreian Payne,"$2,022,240",2016/17
Kelly Oubre,"$2,006,640",2016/17
Juan Hernangomez,"$1,987,440",2016/17
Jusuf Nurkic,"$1,921,320",2016/17
Lucas Nogueira,"$1,921,320",2016/17
Terry Rozier,"$1,906,440",2016/17
James Young,"$1,825,200",2016/17
Rashad Vaughn,"$1,811,040",2016/17
Kevin Seraphin,"$1,800,000",2016/17
Wade Baldwin,"$1,793,760",2016/17
Tyler Ennis,"$1,733,880",2016/17
Sam Dekker,"$1,720,560",2016/17
Joffrey Lauvergne,"$1,709,719",2016/17
Henry Ellenson,"$1,704,120",2016/17
Gary Harris,"$1,655,880",2016/17
Jerian Grant,"$1,643,040",2016/17
Malik Beasley,"$1,627,320",2016/17
RJ Hunter,"$1,625,240",2016/17
Bruno Caboclo,"$1,589,640",2016/17
Delon Wright,"$1,577,280",2016/17
Jarrett Jack,"$1,571,705",2016/17
Caris LeVert,"$1,562,280",2016/17
Chris Andersen,"$1,551,659",2016/17
James Jones,"$1,551,659",2016/17
David West,"$1,551,659",2016/17
Raymond Felton,"$1,551,659",2016/17
Brandon Bass,"$1,551,659",2016/17
Metta World Peace,"$1,551,659",2016/17
Jason Terry,"$1,551,659",2016/17
Steve Novak,"$1,551,659",2016/17
Caron Butler,"$1,551,659",2016/17
David Lee,"$1,551,659",2016/17
Mitch McGary,"$1,526,040",2016/17
Justin Anderson,"$1,514,160",2016/17
Marcelo Huertas,"$1,500,000",2016/17
DeAndre Bembry,"$1,499,760",2016/17
Jordan Adams,"$1,465,080",2016/17
Demetrius Jackson,"$1,450,000",2016/17
Malachi Richardson,"$1,439,880",2016/17
Gerald Green,"$1,410,598",2016/17
Sasha Vujacic,"$1,410,598",2016/17
Rodney Hood,"$1,406,520",2016/17
Bobby Portis,"$1,404,600",2016/17
JaVale McGee,"$1,403,611",2016/17
Marreese Speights,"$1,403,611",2016/17
Michael Beasley,"$1,403,611",2016/17
Rondae Hollis-Jefferson,"$1,395,600",2016/17
Willy Hernangomez,"$1,375,000",2016/17
Deyonta Davis,"$1,369,229",2016/17
Nikola Jokic,"$1,358,500",2016/17
Shabazz Napier,"$1,350,120",2016/17
Tyus Jones,"$1,339,680",2016/17
Sasha Kaun,"$1,333,420",2016/17
Timothe Luwawu,"$1,326,960",2016/17
Alan Anderson,"$1,315,448",2016/17
Ty Lawson,"$1,315,448",2016/17
Marcus Thornton,"$1,315,448",2016/17
Clint Capela,"$1,296,240",2016/17
Jarell Martin,"$1,286,160",2016/17
Brice Johnson,"$1,273,920",2016/17
Jeremy Evans,"$1,227,286",2016/17
Luke Babbitt,"$1,227,286",2016/17
Jordan Mickey,"$1,223,653",2016/17
CJ Wilcox,"$1,209,600",2016/17
Larry Nance Jr,"$1,207,680",2016/17
Terrence Jones,"$1,207,194",2016/17
Pascal Siakam,"$1,196,040",2016/17
Kyle Anderson,"$1,192,080",2016/17
Josh Huestis,"$1,191,480",2016/17
Chris McCullough,"$1,191,480",2016/17
Skal Labissiere,"$1,188,840",2016/17
Livio Jean-Charles,"$1,188,840",2016/17
Kevon Looney,"$1,182,840",2016/17
Dejounte Murray,"$1,180,080",2016/17
Damian Jones,"$1,171,560",2016/17
Hollis Thompson,"$1,131,040",2016/17
Isaiah Whitehead,"$1,074,145",2016/17
Joseph Young,"$1,052,342",2016/17
Rakeem Christmas,"$1,052,342",2016/17
Brian Roberts,"$1,050,961",2016/17
Pablo Prigioni,"$1,050,961",2016/17
Thomas Robinson,"$1,050,961",2016/17
John Jenkins,"$1,050,961",2016/17
Glenn Robinson III,"$1,050,500",2016/17
Montrezl Harrell,"$1,045,000",2016/17
Ivica Zubac,"$1,034,865",2016/17
Richaun Holmes,"$1,024,000",2016/17
Anthony Brown,"$1,023,838",2016/17
Mike Muscala,"$1,015,696",2016/17
Anthony Bennett,"$1,015,696",2016/17
Isaiah Canaan,"$1,015,696",2016/17
Ian Clark,"$1,015,696",2016/17
Justin Holiday,"$1,015,696",2016/17
Robert Covington,"$1,015,696",2016/17
Jeff Withey,"$1,015,696",2016/17
DeAndre Liggins,"$1,015,695",2016/17
Walter Tavares,"$1,006,000",2016/17
Joe Harris,"$980,431",2016/17
Sean Kilpatrick,"$980,431",2016/17
Nick Johnson,"$980,431",2016/17
Beno Udrih,"$980,431",2016/17
James Michael McAdoo,"$980,431",2016/17
JaMychal Green,"$980,431",2016/17
Louis Amundson,"$980,431",2016/17
Jerami Grant,"$980,431",2016/17
Damjan Rudez,"$980,431",2016/17
Elton Brand,"$980,000",2016/17
Axel Toupane,"$977,534",2016/17
Stephen Zimmerman,"$950,000",2016/17
Andrew Harrison,"$945,000",2016/17
Bobby Brown,"$940,070",2016/17
Tyler Ulis,"$918,369",2016/17
Jason Thompson,"$893,333",2016/17
Raul Neto,"$877,800",2016/17
Malcolm Brogdon,"$875,000",2016/17
Christian Wood,"$874,636",2016/17
Cristiano Felicio,"$874,636",2016/17
Jordan McRae,"$874,636",2016/17
Salah Mejri,"$874,636",2016/17
Darrun Hilliard,"$874,636",2016/17
Josh Richardson,"$874,636",2016/17
TJ McConnell,"$874,636",2016/17
Alan Williams,"$874,636",2016/17
Pat Connaughton,"$874,636",2016/17
Jonathon Simmons,"$874,636",2016/17
Norman Powell,"$874,636",2016/17
Paul Zipser,"$750,000",2016/17
Spencer Dinwiddie,"$726,672",2016/17
Ryan Kelly,"$713,305",2016/17
Jonathan Gibson,"$671,346",2016/17
Joel Anthony,"$663,810",2016/17
Troy Williams,"$652,165",2016/17
AJ Hammons,"$650,000",2016/17
Michael Gbinije,"$650,000",2016/17
Georges Niang,"$650,000",2016/17
Briante Weber,"$623,447",2016/17
Donatas Motiejunas,"$607,491",2016/17
Jake Layman,"$600,000",2016/17
Joel Bolomboy,"$600,000",2016/17
John Lucas,"$580,344",2016/17
Gary Payton II,"$578,636",2016/17
Toney Douglas,"$564,868",2016/17
Treveon Graham,"$543,471",2016/17
Kay Felder,"$543,471",2016/17
Nicolas Brussino,"$543,471",2016/17
Dorian Finney-Smith,"$543,471",2016/17
Patrick McCaw,"$543,471",2016/17
Kyle Wiltjer,"$543,471",2016/17
Chinanu Onuaku,"$543,471",2016/17
Diamond Stone,"$543,471",2016/17
Rodney McGruder,"$543,471",2016/17
Cheick Diallo,"$543,471",2016/17
Ron Baker,"$543,471",2016/17
Marshall Plumlee,"$543,471",2016/17
Maurice Ndour,"$543,471",2016/17
Semaj Christon,"$543,471",2016/17
Derrick Jones,"$543,471",2016/17
Tim Quarterman,"$543,471",2016/17
Davis Bertans,"$543,471",2016/17
Bryn Forbes,"$543,471",2016/17
Fred VanVleet,"$543,471",2016/17
Daniel Ochefu,"$543,471",2016/17
Sheldon Mac,"$543,471",2016/17
Danuel House,"$543,471",2016/17
Chasson Randle,"$541,170",2016/17
Arinze Onuaku,"$426,775",2016/17
Yogi Ferrell,"$409,300",2016/17
Johnny O'Bryant,"$392,169",2016/17
Aaron Harrison,"$365,289",2016/17
Okaro White,"$310,995",2016/17
Isaiah Taylor,"$305,000",2016/17
Norris Cole,"$288,131",2016/17
Ben Bentil,"$281,968",2016/17
Jarell Eddie,"$277,898",2016/17
Elliot Williams,"$250,000",2016/17
Yi Jianlian,"$250,000",2016/17
Lamar Patterson,"$242,963",2016/17
Jordan Crawford,"$234,920",2016/17
Nicolas Laprovittola,"$204,601",2016/17
Reggie Williams,"$193,307",2016/17
Pierre Jackson,"$191,810",2016/17
Brandon Paul,"$155,000",2016/17
Shawn Long,"$154,512",2016/17
Robbie Hummel,"$150,000",2016/17
Jarnell Stokes,"$150,000",2016/17
Mike Tobey,"$138,937",2016/17
Patricio Garino,"$131,968",2016/17
Jarrod Uthoff,"$129,920",2016/17
Marcus Paige,"$125,000",2016/17
Ray McCallum,"$119,493",2016/17
Manny Harris,"$119,493",2016/17
Wayne Selden,"$115,087",2016/17
Egidijus Mockevicius,"$100,000",2016/17
Stefan Jankovic,"$100,000",2016/17
JP Tokoto,"$100,000",2016/17
Isaiah Cousins,"$100,000",2016/17
Quinn Cook,"$95,904",2016/17
Marcus Georges-Hunt,"$88,936",2016/17
Jordan Farmar,"$82,976",2016/17
Prince Ibeh,"$77,250",2016/17
Keith Benson,"$75,000",2016/17
Kaleb Tarczewski,"$75,000",2016/17
Ryan Arcidiacono,"$75,000",2016/17
Henry Sims,"$75,000",2016/17
Quincy Ford,"$75,000",2016/17
Alex Poythress,"$73,743",2016/17
David Nwaba,"$73,528",2016/17
Gary Neal,"$72,193",2016/17
Kyle Collinsworth,"$70,000",2016/17
Thomas Walkup,"$69,500",2016/17
James Webb,"$65,000",2016/17
Zach Auguste,"$60,000",2016/17
Brady Heslip,"$56,500",2016/17
Matt Costello,"$50,000",2016/17
Damion Lee,"$50,000",2016/17
Nate Wolters,"$50,000",2016/17
DJ Kennedy,"$50,000",2016/17
Scott Wood,"$50,000",2016/17
Elgin Cook,"$50,000",2016/17
Julyan Stone,"$50,000",2016/17
Alex Caruso,"$50,000",2016/17
Anthony Barber,"$50,000",2016/17
Dionte Christmas,"$50,000",2016/17
EJ Singler,"$50,000",2016/17
Beau Beech,"$45,000",2016/17
Phil Pressey,"$35,000",2016/17
Nikola Jovanovic,"$30,000",2016/17
Jalen Jones,"$25,000",2016/17
Nick Zeisloft,"$25,000",2016/17
Tony Wroten,"$25,000",2016/17
Dahntay Jones,"$24,022",2016/17
Kobe Bryant,"$30,453,000",2013/14
Dirk Nowitzki,"$22,721,381",2013/14
Gilbert Arenas,"$22,346,536",2013/14
Amare Stoudemire,"$21,679,893",2013/14
Carmelo Anthony,"$21,490,000",2013/14
Joe Johnson,"$21,466,718",2013/14
Dwight Howard,"$20,513,178",2013/14
Pau Gasol,"$19,285,850",2013/14
Chris Bosh,"$19,067,500",2013/14
LeBron James,"$19,067,500",2013/14
Kevin Durant,"$18,773,176",2013/14
Chris Paul,"$18,668,431",2013/14
Dwyane Wade,"$18,536,000",2013/14
Deron Williams,"$18,466,130",2013/14
Rudy Gay,"$17,888,932",2013/14
Zach Randolph,"$17,800,000",2013/14
Brandon Roy,"$17,779,458",2013/14
Derrick Rose,"$17,632,688",2013/14
Blake Griffin,"$16,402,500",2013/14
Paul Pierce,"$15,333,334",2013/14
Carlos Boozer,"$15,300,000",2013/14
Marc Gasol,"$14,860,523",2013/14
Brook Lopez,"$14,694,000",2013/14
Kevin Love,"$14,693,906",2013/14
Russell Westbrook,"$14,693,906",2013/14
Emeka Okafor,"$14,544,687",2013/14
Danny Granger,"$14,379,240",2013/14
Luol Deng,"$14,312,125",2013/14
Roy Hibbert,"$14,283,844",2013/14
Eric Gordon,"$14,283,844",2013/14
Andrew Bogut,"$14,200,000",2013/14
Tyson Chandler,"$14,100,538",2013/14
LaMarcus Aldridge,"$14,100,000",2013/14
Josh Smith,"$14,000,000",2013/14
David Lee,"$13,878,000",2013/14
James Harden,"$13,668,750",2013/14
Al Jefferson,"$13,500,000",2013/14
Kobe Bryant,"$23,500,000",2014/15
Ben Gordon,"$13,200,000",2013/14
Nenê,"$13,000,000",2013/14
Andre Iguodala,"$12,868,632",2013/14
Tony Parker,"$12,500,000",2013/14
Serge Ibaka,"$12,250,000",2013/14
Nikola Pekovic,"$12,100,000",2013/14
Al Horford,"$12,000,000",2013/14
Rajon Rondo,"$12,000,000",2013/14
Kris Humphries,"$12,000,000",2013/14
David West,"$12,000,000",2013/14
Tyreke Evans,"$11,796,247",2013/14
Joakim Noah,"$11,600,000",2013/14
Kevin Garnett,"$11,532,468",2013/14
Richard Jefferson,"$11,046,000",2013/14
Jrue Holiday,"$11,000,000",2013/14
Andrea Bargnani,"$11,000,000",2013/14
DeAndre Jordan,"$10,986,550",2013/14
Nicolas Batum,"$10,920,250",2013/14
Ty Lawson,"$10,786,517",2013/14
JaVale McGee,"$10,750,000",2013/14
Tim Duncan,"$10,361,446",2013/14
Danilo Gallinari,"$10,146,925",2013/14
Gerald Wallace,"$10,105,855",2013/14
Tiago Splitter,"$10,000,000",2013/14
Stephen Curry,"$9,887,642",2013/14
Paul Millsap,"$9,500,000",2013/14
DeMar DeRozan,"$9,500,000",2013/14
Metta World Peace,"$9,317,280",2013/14
Shawn Marion,"$9,316,796",2013/14
Steve Nash,"$9,300,500",2013/14
Andray Blatche,"$9,170,525",2013/14
Anderson Varejao,"$9,100,000",2013/14
Andris Biedrins,"$9,000,000",2013/14
Jeff Green,"$8,700,000",2013/14
Tyrus Thomas,"$8,694,215",2013/14
Jameer Nelson,"$8,600,000",2013/14
Thaddeus Young,"$8,600,000",2013/14
Charlie Villanueva,"$8,580,000",2013/14
Joe Johnson,"$23,180,790",2014/15
Carmelo Anthony,"$22,458,401",2014/15
Amare Stoudemire,"$21,896,658",2014/15
Dwight Howard,"$21,436,271",2014/15
LeBron James,"$20,644,400",2014/15
Chris Bosh,"$20,644,400",2014/15
Chris Paul,"$20,068,563",2014/15
Kevin Durant,"$19,997,513",2014/15
Deron Williams,"$19,754,465",2014/15
Rudy Gay,"$19,317,326",2014/15
Derrick Rose,"$18,862,876",2014/15
Blake Griffin,"$17,632,688",2014/15
Carlos Boozer,"$16,800,000",2014/15
Zach Randolph,"$16,500,000",2014/15
Marc Gasol,"$15,829,688",2014/15
Paul George,"$15,800,000",2014/15
Kevin Love,"$15,719,063",2014/15
Russell Westbrook,"$15,719,062",2014/15
Brook Lopez,"$15,719,000",2014/15
LaMarcus Aldridge,"$15,200,000",2014/15
David Lee,"$15,012,000",2014/15
Dwyane Wade,"$15,000,000",2014/15
Josh Smith,"$14,945,778",2014/15
Roy Hibbert,"$14,898,938",2014/15
Jeremy Lin,"$14,898,938",2014/15
Eric Gordon,"$14,898,938",2014/15
Omer Asik,"$14,898,938",2014/15
Gordon Hayward,"$14,746,000",2014/15
Chandler Parsons,"$14,700,000",2014/15
James Harden,"$14,693,906",2014/15
Tyson Chandler,"$14,596,888",2014/15
Brandon Roy,"$14,399,332",2014/15
DeMarcus Cousins,"$13,701,250",2014/15
John Wall,"$13,701,250",2014/15
Al Jefferson,"$13,500,000",2014/15
Eric Bledsoe,"$13,000,000",2014/15
Nenê,"$13,000,000",2014/15
Al Harrington,"$8,548,107",2013/14
Rodney Stuckey,"$8,500,000",2013/14
Kendrick Perkins,"$8,477,437",2013/14
Caron Butler,"$8,386,992",2013/14
Monta Ellis,"$8,360,000",2013/14
Ryan Anderson,"$8,308,500",2013/14
Marcus Thornton,"$8,165,000",2013/14
Jeff Teague,"$8,000,000",2013/14
George Hill,"$8,000,000",2013/14
OJ Mayo,"$8,000,000",2013/14
Mike Conley,"$7,900,000",2013/14
Ersan Ilyasova,"$7,900,000",2013/14
Trevor Ariza,"$7,727,280",2013/14
Marcin Gortat,"$7,727,280",2013/14
Brandon Jennings,"$7,655,503",2013/14
Mike Miller,"$7,599,507",2013/14
John Salmons,"$7,580,000",2013/14
Arron Afflalo,"$7,562,500",2013/14
Taj Gibson,"$7,550,000",2013/14
Goran Dragic,"$7,500,000",2013/14
Marvin Williams,"$7,500,000",2013/14
John Wall,"$7,459,924",2013/14
Josh Childress,"$7,405,833",2013/14
Tayshaun Prince,"$7,235,955",2013/14
Drew Gooden,"$7,091,619",2013/14
Brendan Haywood,"$7,073,500",2013/14
Michael Beasley,"$7,027,424",2013/14
Andrew Bynum,"$7,000,000",2013/14
Manu Ginobili,"$7,000,000",2013/14
Wesley Matthews,"$6,875,480",2013/14
Jose Calderon,"$6,791,570",2013/14
Kyle Korver,"$6,760,563",2013/14
Brandon Bass,"$6,750,000",2013/14
Glen Davis,"$6,750,000",2013/14
Carl Landry,"$6,750,000",2013/14
Evan Turner,"$6,679,866",2013/14
Hidayet Turkoglu,"$6,650,359",2013/14
Spencer Hawes,"$6,500,000",2013/14
JJ Redick,"$6,500,000",2013/14
Kevin Martin,"$6,500,000",2013/14
Amir Johnson,"$6,500,000",2013/14
Channing Frye,"$6,400,000",2013/14
Andrew Bogut,"$12,972,973",2014/15
Derrick Favors,"$12,950,000",2014/15
Rajon Rondo,"$12,909,090",2014/15
Joakim Noah,"$12,700,000",2014/15
Tony Parker,"$12,500,000",2014/15
Andre Iguodala,"$12,289,544",2014/15
Serge Ibaka,"$12,250,000",2014/15
Nikola Pekovic,"$12,100,000",2014/15
Al Horford,"$12,000,000",2014/15
David West,"$12,000,000",2014/15
Kevin Garnett,"$12,000,000",2014/15
Andrea Bargnani,"$12,000,000",2014/15
Kyle Lowry,"$12,000,000",2014/15
Ty Lawson,"$11,595,506",2014/15
DeAndre Jordan,"$11,440,123",2014/15
Nicolas Batum,"$11,390,500",2014/15
Tyreke Evans,"$11,265,416",2014/15
JaVale McGee,"$11,250,000",2014/15
Larry Sanders,"$11,000,000",2014/15
Jrue Holiday,"$11,000,000",2014/15
Danilo Gallinari,"$10,854,850",2014/15
Stephen Curry,"$10,629,213",2014/15
Marcin Gortat,"$10,434,782",2014/15
Tim Duncan,"$10,361,446",2014/15
Gerald Wallace,"$10,105,855",2014/15
Anderson Varejao,"$9,800,000",2014/15
Brendan Haywood,"$9,798,000",2014/15
Luol Deng,"$9,714,461",2014/15
Steve Nash,"$9,701,000",2014/15
Kendrick Perkins,"$9,588,889",2014/15
Paul Millsap,"$9,500,000",2014/15
DeMar DeRozan,"$9,500,000",2014/15
Tyrus Thomas,"$9,460,664",2014/15
Mike Miller,"$9,332,000",2014/15
Tiago Splitter,"$9,250,000",2014/15
Jeff Green,"$9,200,000",2014/15
Thaddeus Young,"$9,160,870",2014/15
Lance Stephenson,"$9,000,000",2014/15
Jordan Hill,"$9,000,000",2014/15
Wilson Chandler,"$6,344,164",2013/14
Jarrett Jack,"$6,300,000",2013/14
Chris Andersen,"$6,217,507",2013/14
Kyle Lowry,"$6,210,000",2013/14
Jason Richardson,"$6,204,250",2013/14
Derrick Favors,"$6,008,106",2013/14
Gerald Henderson,"$6,000,000",2013/14
Kyrie Irving,"$5,915,880",2013/14
Chuck Hayes,"$5,722,500",2013/14
Jason Thompson,"$5,643,750",2013/14
JR Smith,"$5,565,000",2013/14
Anthony Davis,"$5,375,760",2013/14
Anthony Bennett,"$5,324,280",2013/14
Derrick Williams,"$5,293,080",2013/14
Louis Williams,"$5,225,000",2013/14
Jeremy Lin,"$5,225,000",2013/14
Omer Asik,"$5,225,000",2013/14
Jamal Crawford,"$5,225,000",2013/14
Courtney Lee,"$5,225,000",2013/14
Jason Terry,"$5,225,000",2013/14
Landry Fields,"$5,225,000",2013/14
Zaza Pachulia,"$5,200,000",2013/14
JJ Hickson,"$5,150,000",2013/14
Martell Webster,"$5,150,000",2013/14
Robin Lopez,"$5,119,761",2013/14
Keith Bogans,"$5,058,198",2013/14
Brandan Wright,"$5,000,000",2013/14
Tony Allen,"$5,000,000",2013/14
Ramon Sessions,"$5,000,000",2013/14
Chase Budinger,"$5,000,000",2013/14
Andre Miller,"$5,000,000",2013/14
DeMarcus Cousins,"$4,916,973",2013/14
Michael Kidd-Gilchrist,"$4,809,840",2013/14
Victor Oladipo,"$4,763,760",2013/14
Enes Kanter,"$4,753,320",2013/14
Mike Conley,"$8,760,000",2014/15
Monta Ellis,"$8,720,000",2014/15
Marcus Thornton,"$8,697,500",2014/15
Trevor Ariza,"$8,600,000",2014/15
